summary_level,language_metric,outcome_metric,n,pearson_r,r_squared,scenario,domain
scenario_domain,agent_language_correctness,pass_hat_1,2,,,1-english-only,airline
scenario_domain,agent_language_correctness,pass_hat_2,2,,,1-english-only,airline
scenario_domain,agent_language_correctness,pass_hat_3,2,,,1-english-only,airline
scenario_domain,agent_language_correctness,rho_3,2,,,1-english-only,airline
scenario_domain,user_language_correctness,pass_hat_1,3,0.568503,0.323196,1-english-only,retail
scenario_domain,user_language_correctness,pass_hat_2,3,0.658643,0.433811,1-english-only,retail
scenario_domain,user_language_correctness,pass_hat_3,3,0.72088,0.519668,1-english-only,retail
scenario_domain,user_language_correctness,rho_3,3,-0.070248,0.004935,1-english-only,retail
scenario_domain,agent_language_correctness,pass_hat_1,3,,,1-english-only,retail
scenario_domain,agent_language_correctness,pass_hat_2,3,,,1-english-only,retail
scenario_domain,agent_language_correctness,pass_hat_3,3,,,1-english-only,retail
scenario_domain,agent_language_correctness,rho_3,3,,,1-english-only,retail
scenario_domain,user_language_correctness,pass_hat_1,3,0.999761,0.999522,1-english-only,telecom
scenario_domain,user_language_correctness,pass_hat_2,3,0.999344,0.998688,1-english-only,telecom
scenario_domain,user_language_correctness,pass_hat_3,3,0.99885,0.997701,1-english-only,telecom
scenario_domain,user_language_correctness,rho_3,3,0.997797,0.995599,1-english-only,telecom
scenario_domain,agent_language_correctness,pass_hat_1,3,0.999761,0.999522,1-english-only,telecom
scenario_domain,agent_language_correctness,pass_hat_2,3,0.999344,0.998688,1-english-only,telecom
scenario_domain,agent_language_correctness,pass_hat_3,3,0.99885,0.997701,1-english-only,telecom
scenario_domain,agent_language_correctness,rho_3,3,0.997797,0.995599,1-english-only,telecom
scenario_domain,user_language_correctness,pass_hat_1,18,-0.004073,1.7e-05,2-multilingual-tools,airline
scenario_domain,user_language_correctness,pass_hat_2,18,0.036869,0.001359,2-multilingual-tools,airline
scenario_domain,user_language_correctness,pass_hat_3,18,0.044886,0.002015,2-multilingual-tools,airline
scenario_domain,user_language_correctness,rho_3,18,0.049007,0.002402,2-multilingual-tools,airline
scenario_domain,agent_language_correctness,pass_hat_1,18,-0.278552,0.077591,2-multilingual-tools,airline
scenario_domain,agent_language_correctness,pass_hat_2,18,-0.264868,0.070155,2-multilingual-tools,airline
scenario_domain,agent_language_correctness,pass_hat_3,18,-0.24345,0.059268,2-multilingual-tools,airline
scenario_domain,agent_language_correctness,rho_3,18,-0.186732,0.034869,2-multilingual-tools,airline
scenario_domain,user_language_correctness,pass_hat_1,18,0.88192,0.777783,2-multilingual-tools,retail
scenario_domain,user_language_correctness,pass_hat_2,18,0.84661,0.716748,2-multilingual-tools,retail
scenario_domain,user_language_correctness,pass_hat_3,18,0.772276,0.59641,2-multilingual-tools,retail
scenario_domain,user_language_correctness,rho_3,18,0.334004,0.111559,2-multilingual-tools,retail
scenario_domain,agent_language_correctness,pass_hat_1,18,,,2-multilingual-tools,retail
scenario_domain,agent_language_correctness,pass_hat_2,18,,,2-multilingual-tools,retail
scenario_domain,agent_language_correctness,pass_hat_3,18,,,2-multilingual-tools,retail
scenario_domain,agent_language_correctness,rho_3,18,,,2-multilingual-tools,retail
scenario_domain,user_language_correctness,pass_hat_1,18,-0.331954,0.110193,2-multilingual-tools,telecom
scenario_domain,user_language_correctness,pass_hat_2,18,-0.306812,0.094134,2-multilingual-tools,telecom
scenario_domain,user_language_correctness,pass_hat_3,18,-0.281295,0.079127,2-multilingual-tools,telecom
scenario_domain,user_language_correctness,rho_3,18,-0.233107,0.054339,2-multilingual-tools,telecom
scenario_domain,agent_language_correctness,pass_hat_1,18,0.964873,0.93098,2-multilingual-tools,telecom
scenario_domain,agent_language_correctness,pass_hat_2,18,0.970076,0.941047,2-multilingual-tools,telecom
scenario_domain,agent_language_correctness,pass_hat_3,18,0.969215,0.939378,2-multilingual-tools,telecom
scenario_domain,agent_language_correctness,rho_3,18,0.949474,0.901501,2-multilingual-tools,telecom
scenario_domain,user_language_correctness,pass_hat_1,20,0.143144,0.02049,3-crosslingual,airline
scenario_domain,user_language_correctness,pass_hat_2,20,0.177485,0.031501,3-crosslingual,airline
scenario_domain,user_language_correctness,pass_hat_3,20,0.181824,0.03306,3-crosslingual,airline
scenario_domain,user_language_correctness,rho_3,20,0.129824,0.016854,3-crosslingual,airline
scenario_domain,agent_language_correctness,pass_hat_1,20,-0.140083,0.019623,3-crosslingual,airline
scenario_domain,agent_language_correctness,pass_hat_2,20,-0.092281,0.008516,3-crosslingual,airline
scenario_domain,agent_language_correctness,pass_hat_3,20,-0.075256,0.005663,3-crosslingual,airline
scenario_domain,agent_language_correctness,rho_3,20,-0.036799,0.001354,3-crosslingual,airline
scenario_domain,user_language_correctness,pass_hat_1,19,-0.072122,0.005202,3-crosslingual,retail
scenario_domain,user_language_correctness,pass_hat_2,19,-0.118118,0.013952,3-crosslingual,retail
scenario_domain,user_language_correctness,pass_hat_3,19,-0.148887,0.022167,3-crosslingual,retail
scenario_domain,user_language_correctness,rho_3,19,-0.253692,0.06436,3-crosslingual,retail
scenario_domain,agent_language_correctness,pass_hat_1,19,-0.077817,0.006055,3-crosslingual,retail
scenario_domain,agent_language_correctness,pass_hat_2,19,-0.088013,0.007746,3-crosslingual,retail
scenario_domain,agent_language_correctness,pass_hat_3,19,-0.08318,0.006919,3-crosslingual,retail
scenario_domain,agent_language_correctness,rho_3,19,-0.092572,0.00857,3-crosslingual,retail
scenario_domain,user_language_correctness,pass_hat_1,17,-0.017904,0.000321,3-crosslingual,telecom
scenario_domain,user_language_correctness,pass_hat_2,17,0.006377,4.1e-05,3-crosslingual,telecom
scenario_domain,user_language_correctness,pass_hat_3,17,0.019372,0.000375,3-crosslingual,telecom
scenario_domain,user_language_correctness,rho_3,17,-0.065777,0.004327,3-crosslingual,telecom
scenario_domain,agent_language_correctness,pass_hat_1,17,0.834611,0.696576,3-crosslingual,telecom
scenario_domain,agent_language_correctness,pass_hat_2,17,0.801917,0.643071,3-crosslingual,telecom
scenario_domain,agent_language_correctness,pass_hat_3,17,0.784622,0.615632,3-crosslingual,telecom
scenario_domain,agent_language_correctness,rho_3,17,0.738913,0.545992,3-crosslingual,telecom
scenario_domain,user_language_correctness,pass_hat_1,18,-0.039851,0.001588,4-translated,airline
scenario_domain,user_language_correctness,pass_hat_2,18,-0.042713,0.001824,4-translated,airline
scenario_domain,user_language_correctness,pass_hat_3,18,-0.062965,0.003965,4-translated,airline
scenario_domain,user_language_correctness,rho_3,18,-0.034259,0.001174,4-translated,airline
scenario_domain,agent_language_correctness,pass_hat_1,18,-0.250898,0.06295,4-translated,airline
scenario_domain,agent_language_correctness,pass_hat_2,18,-0.344957,0.118995,4-translated,airline
scenario_domain,agent_language_correctness,pass_hat_3,18,-0.336376,0.113149,4-translated,airline
scenario_domain,agent_language_correctness,rho_3,18,-0.193232,0.037339,4-translated,airline
scenario_domain,user_language_correctness,pass_hat_1,16,0.040636,0.001651,4-translated,retail
scenario_domain,user_language_correctness,pass_hat_2,16,0.025507,0.000651,4-translated,retail
scenario_domain,user_language_correctness,pass_hat_3,16,-0.031223,0.000975,4-translated,retail
scenario_domain,user_language_correctness,rho_3,16,-0.184112,0.033897,4-translated,retail
scenario_domain,agent_language_correctness,pass_hat_1,16,-0.077409,0.005992,4-translated,retail
scenario_domain,agent_language_correctness,pass_hat_2,16,-0.097079,0.009424,4-translated,retail
scenario_domain,agent_language_correctness,pass_hat_3,16,-0.166373,0.02768,4-translated,retail
scenario_domain,agent_language_correctness,rho_3,16,-0.220598,0.048663,4-translated,retail
scenario_domain,user_language_correctness,pass_hat_1,14,0.006992,4.9e-05,4-translated,telecom
scenario_domain,user_language_correctness,pass_hat_2,14,0.00363,1.3e-05,4-translated,telecom
scenario_domain,user_language_correctness,pass_hat_3,14,-0.001753,3e-06,4-translated,telecom
scenario_domain,user_language_correctness,rho_3,14,-0.068864,0.004742,4-translated,telecom
scenario_domain,agent_language_correctness,pass_hat_1,14,0.717585,0.514928,4-translated,telecom
scenario_domain,agent_language_correctness,pass_hat_2,14,0.665668,0.443114,4-translated,telecom
scenario_domain,agent_language_correctness,pass_hat_3,14,0.636137,0.40467,4-translated,telecom
scenario_domain,agent_language_correctness,rho_3,14,0.550287,0.302816,4-translated,telecom
