scenario,domain,language_scenario,agent_llm,agent_family,role,experiment_count,turns_total,mean_language_correctness,drift_trial_count,mean_drift_turn,non_target_lang_proportion,detected_lang_proportion
2-multilingual-tools,airline,thai,openai/gpt-5-mini,gpt-5-mini,user,1,528,0.99053,5,11.0,ru_0.004|fi_0.002|fr_0.002|pt_0.002,en_0.991|ru_0.004|fi_0.002|fr_0.002|pt_0.002
2-multilingual-tools,airline,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,687,0.992722,3,3.0,fr_0.004|it_0.003,en_0.993|fr_0.004|it_0.003
2-multilingual-tools,airline,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,user,1,500,0.998,1,9.0,ja_0.002,en_0.998|ja_0.002
2-multilingual-tools,airline,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,656,0.995427,3,3.0,it_0.005,en_0.995|it_0.005
2-multilingual-tools,airline,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,user,1,533,0.996248,2,12.0,ar_0.002|zh_0.002,en_0.996|ar_0.002|zh_0.002
2-multilingual-tools,airline,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,693,0.995671,3,3.0,it_0.004,en_0.996|it_0.004
2-multilingual-tools,airline,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,user,1,546,0.996337,2,10.0,ca_0.002|ja_0.002,en_0.996|ca_0.002|ja_0.002
2-multilingual-tools,airline,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,674,0.998516,1,3.0,it_0.001,en_0.999|it_0.001
2-multilingual-tools,airline,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,user,1,509,0.994106,2,16.5,uk_0.004|it_0.002,en_0.994|uk_0.004|it_0.002
2-multilingual-tools,airline,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,699,0.995708,3,3.0,it_0.004,en_0.996|it_0.004
2-multilingual-tools,airline,vietnamese,openai/gpt-5-mini,gpt-5-mini,user,1,545,0.990826,5,11.0,fa_0.002|gu_0.002|it_0.002|kn_0.002|pt_0.002,en_0.991|fa_0.002|gu_0.002|it_0.002|kn_0.002|pt_0.002
2-multilingual-tools,airline,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,669,0.99701,2,3.0,it_0.003,en_0.997|it_0.003
2-multilingual-tools,retail,chinese,openai/gpt-5-mini,gpt-5-mini,user,1,1430,0.995804,6,5.0,de_0.001|ja_0.001|nl_0.001|ru_0.001|sv_0.001,en_0.996|de_0.001|ja_0.001|nl_0.001|ru_0.001|sv_0.001
2-multilingual-tools,retail,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1683,0.988116,20,5.0,fr_0.005|de_0.004|uk_0.002|id_0.001,en_0.988|fr_0.005|de_0.004|uk_0.002|id_0.001
2-multilingual-tools,retail,filipino,openai/gpt-5-mini,gpt-5-mini,user,1,1464,0.996585,5,15.0,de_0.003|it_0.001,en_0.997|de_0.003|it_0.001
2-multilingual-tools,retail,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1673,0.98685,22,4.0,fr_0.005|de_0.004|id_0.001|it_0.001|ru_0.001|sv_0.001|uk_0.001,en_0.987|fr_0.005|de_0.004|id_0.001|it_0.001|ru_0.001|sv_0.001|uk_0.001
2-multilingual-tools,retail,indonesian,openai/gpt-5-mini,gpt-5-mini,user,1,1412,0.995042,7,15.0,fr_0.002|hi_0.001|ru_0.001|sv_0.001|ta_0.001,en_0.995|fr_0.002|hi_0.001|ru_0.001|sv_0.001|ta_0.001
2-multilingual-tools,retail,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1689,0.988751,19,5.0,fr_0.005|de_0.004|id_0.002|ro_0.001,en_0.989|fr_0.005|de_0.004|id_0.002|ro_0.001
2-multilingual-tools,retail,thai,openai/gpt-5-mini,gpt-5-mini,user,1,1430,0.994406,8,7.0,fr_0.002|bg_0.001|es_0.001|la_0.001|ru_0.001,en_0.994|fr_0.002|bg_0.001|es_0.001|la_0.001|ru_0.001
2-multilingual-tools,retail,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1689,0.988159,20,6.0,fr_0.005|de_0.003|id_0.001|it_0.001|pl_0.001|ru_0.001|uk_0.001,en_0.988|fr_0.005|de_0.003|id_0.001|it_0.001|pl_0.001|ru_0.001|uk_0.001
2-multilingual-tools,retail,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,user,1,1445,0.993772,7,7.0,es_0.001|fr_0.001|id_0.001|ja_0.001|ru_0.001|te_0.001|tr_0.001|uk_0.001,en_0.994|es_0.001|fr_0.001|id_0.001|ja_0.001|ru_0.001|te_0.001|tr_0.001|uk_0.001
2-multilingual-tools,retail,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1673,0.988045,20,5.0,fr_0.005|de_0.004|id_0.002|it_0.001|nl_0.001|sv_0.001,en_0.988|fr_0.005|de_0.004|id_0.002|it_0.001|nl_0.001|sv_0.001
2-multilingual-tools,retail,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,user,1,1450,0.994483,7,17.0,uk_0.002|de_0.001|ja_0.001|ru_0.001,en_0.994|uk_0.002|de_0.001|ja_0.001|ru_0.001
2-multilingual-tools,retail,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1761,0.988643,20,5.0,fr_0.005|de_0.003|id_0.001|ja_0.001|pl_0.001|ru_0.001|uk_0.001,en_0.989|fr_0.005|de_0.003|id_0.001|ja_0.001|pl_0.001|ru_0.001|uk_0.001
2-multilingual-tools,retail,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,user,1,1510,0.997351,4,10.0,de_0.001|fa_0.001|fr_0.001|uk_0.001,en_0.997|de_0.001|fa_0.001|fr_0.001|uk_0.001
2-multilingual-tools,retail,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1745,0.986246,23,3.0,fr_0.005|de_0.003|ru_0.002|id_0.001|it_0.001|pl_0.001|sv_0.001|uk_0.001,en_0.986|fr_0.005|de_0.003|ru_0.002|id_0.001|it_0.001|pl_0.001|sv_0.001|uk_0.001
2-multilingual-tools,retail,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,user,1,1500,0.995333,7,7.0,fr_0.002|id_0.001|it_0.001|ja_0.001|ru_0.001,en_0.995|fr_0.002|id_0.001|it_0.001|ja_0.001|ru_0.001
2-multilingual-tools,retail,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1747,0.987407,22,5.0,fr_0.005|de_0.004|id_0.002|ca_0.001|es_0.001|ru_0.001,en_0.987|fr_0.005|de_0.004|id_0.002|ca_0.001|es_0.001|ru_0.001
2-multilingual-tools,retail,vietnamese,openai/gpt-5-mini,gpt-5-mini,user,1,1442,0.996533,5,7.0,de_0.001|fa_0.001|fr_0.001|nl_0.001|tl_0.001,en_0.997|de_0.001|fa_0.001|fr_0.001|nl_0.001|tl_0.001
2-multilingual-tools,retail,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,1730,0.989017,19,5.0,fr_0.005|de_0.003|id_0.002|ja_0.001,en_0.989|fr_0.005|de_0.003|id_0.002|ja_0.001
2-multilingual-tools,telecom,chinese,openai/gpt-5-mini,gpt-5-mini,user,1,3199,0.99875,4,37.0,ko_0.001|es_0.000|fr_0.000,en_0.999|ko_0.001|es_0.000|fr_0.000
2-multilingual-tools,telecom,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3954,1.0,0,,,en_1.000
2-multilingual-tools,telecom,filipino,openai/gpt-5-mini,gpt-5-mini,user,1,3132,0.998723,4,32.0,ko_0.001,en_0.999|ko_0.001
2-multilingual-tools,telecom,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3634,0.999725,1,25.0,ko_0.000,en_1.000|ko_0.000
2-multilingual-tools,telecom,indonesian,openai/gpt-5-mini,gpt-5-mini,user,1,3049,0.999344,2,35.0,fr_0.000|ja_0.000,en_0.999|fr_0.000|ja_0.000
2-multilingual-tools,telecom,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3616,0.99917,3,21.0,ko_0.001,en_0.999|ko_0.001
2-multilingual-tools,telecom,thai,openai/gpt-5-mini,gpt-5-mini,user,1,2970,0.99899,3,29.0,ja_0.001|zh_0.000,en_0.999|ja_0.001|zh_0.000
2-multilingual-tools,telecom,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3425,0.998832,4,22.0,ko_0.001,en_0.999|ko_0.001
2-multilingual-tools,telecom,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,user,1,3070,0.999674,1,43.0,ko_0.000,en_1.000|ko_0.000
2-multilingual-tools,telecom,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3666,0.999182,3,23.0,ko_0.001,en_0.999|ko_0.001
2-multilingual-tools,telecom,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,user,1,3168,0.998737,4,95.0,ca_0.000|es_0.000|fr_0.000|ko_0.000,en_0.999|ca_0.000|es_0.000|fr_0.000|ko_0.000
2-multilingual-tools,telecom,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3486,0.998279,6,19.0,ko_0.002,en_0.998|ko_0.002
2-multilingual-tools,telecom,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,user,1,3123,0.99936,2,32.0,es_0.000|ko_0.000,en_0.999|es_0.000|ko_0.000
2-multilingual-tools,telecom,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3471,1.0,0,,,en_1.000
2-multilingual-tools,telecom,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,user,1,3059,1.0,0,,,en_1.000
2-multilingual-tools,telecom,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3577,0.999441,2,25.0,ko_0.001,en_0.999|ko_0.001
2-multilingual-tools,telecom,vietnamese,openai/gpt-5-mini,gpt-5-mini,user,1,3090,0.998706,2,34.0,de_0.000|es_0.000|ko_0.000|ru_0.000,en_0.999|de_0.000|es_0.000|ko_0.000|ru_0.000
2-multilingual-tools,telecom,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,user,1,3787,0.999736,1,21.0,ko_0.000,en_1.000|ko_0.000
3-crosslingual,airline,chinese,azure/kimi-k2.5,kimi-k2.5,user,1,643,0.998445,1,20.0,en_0.002,zh_0.998|en_0.002
3-crosslingual,airline,chinese,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,574,0.912892,36,12.0,en_0.064|fr_0.009|ja_0.007|ca_0.002|fa_0.002|wuu_0.002|yue_0.002,zh_0.913|en_0.064|fr_0.009|ja_0.007|ca_0.002|fa_0.002|wuu_0.002|yue_0.002
3-crosslingual,airline,chinese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,556,1.0,0,,,zh_1.000
3-crosslingual,airline,chinese,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,user,1,644,0.992236,4,17.0,fr_0.003|en_0.002|it_0.002|wuu_0.002,zh_0.992|fr_0.003|en_0.002|it_0.002|wuu_0.002
3-crosslingual,airline,filipino,azure/kimi-k2.5,kimi-k2.5,user,1,681,0.936858,33,3.0,en_0.034|it_0.007|ca_0.004|io_0.004|pt_0.004|sh_0.004|ja_0.003|eo_0.001,tl_0.937|en_0.034|it_0.007|ca_0.004|io_0.004|pt_0.004|sh_0.004|ja_0.003|eo_0.001
3-crosslingual,airline,filipino,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,654,0.825688,65,9.0,en_0.153|it_0.005|es_0.003|fa_0.003|fr_0.003|de_0.002|hr_0.002|io_0.002|ja_0.002|pt_0.002,tl_0.826|en_0.153|it_0.005|es_0.003|fa_0.003|fr_0.003|de_0.002|hr_0.002|io_0.002|ja_0.002|pt_0.002
3-crosslingual,airline,filipino,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,639,0.949922,27,3.0,en_0.041|it_0.006|ca_0.002|pt_0.002,tl_0.950|en_0.041|it_0.006|ca_0.002|pt_0.002
3-crosslingual,airline,filipino,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,user,1,668,0.937126,28,6.0,en_0.046|it_0.010|sh_0.003|io_0.001|lt_0.001,tl_0.937|en_0.046|it_0.010|sh_0.003|io_0.001|lt_0.001
3-crosslingual,airline,indonesian,azure/kimi-k2.5,kimi-k2.5,user,1,683,0.995608,3,23.0,ms_0.004,id_0.996|ms_0.004
3-crosslingual,airline,indonesian,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,644,0.89441,43,10.0,en_0.079|ms_0.008|it_0.005|tr_0.005|ca_0.002|eo_0.002|fr_0.002|jv_0.002|pt_0.002|ro_0.002,id_0.894|en_0.079|ms_0.008|it_0.005|tr_0.005|ca_0.002|eo_0.002|fr_0.002|jv_0.002|pt_0.002|ro_0.002
3-crosslingual,airline,indonesian,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,609,1.0,0,,,id_1.000
3-crosslingual,airline,indonesian,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,user,1,745,0.994631,4,12.0,ms_0.003|en_0.001|it_0.001,id_0.995|ms_0.003|en_0.001|it_0.001
3-crosslingual,airline,thai,azure/kimi-k2.5,kimi-k2.5,user,1,596,0.993289,3,3.0,it_0.003|ca_0.002|ja_0.002,th_0.993|it_0.003|ca_0.002|ja_0.002
3-crosslingual,airline,thai,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,584,0.909247,31,14.0,en_0.079|de_0.007|it_0.002|pt_0.002|ru_0.002,th_0.909|en_0.079|de_0.007|it_0.002|pt_0.002|ru_0.002
3-crosslingual,airline,thai,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,582,0.984536,6,3.0,en_0.005|ca_0.003|es_0.003|it_0.003,th_0.985|en_0.005|ca_0.003|es_0.003|it_0.003
3-crosslingual,airline,thai,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,user,1,660,0.986364,9,3.0,it_0.011|ca_0.002|en_0.002,th_0.986|it_0.011|ca_0.002|en_0.002
3-crosslingual,airline,vietnamese,azure/kimi-k2.5,kimi-k2.5,user,1,615,0.995122,3,3.0,pt_0.003|it_0.002,vi_0.995|pt_0.003|it_0.002
3-crosslingual,airline,vietnamese,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,586,0.909556,35,13.0,en_0.068|it_0.005|es_0.003|fa_0.003|ca_0.002|id_0.002|ja_0.002|ro_0.002|th_0.002|zh_0.002,vi_0.910|en_0.068|it_0.005|es_0.003|fa_0.003|ca_0.002|id_0.002|ja_0.002|ro_0.002|th_0.002|zh_0.002
3-crosslingual,airline,vietnamese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,571,0.978984,10,3.0,it_0.009|pt_0.005|ca_0.004|ja_0.004,vi_0.979|it_0.009|pt_0.005|ca_0.004|ja_0.004
3-crosslingual,airline,vietnamese,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,user,1,708,0.997175,2,3.0,ca_0.003,vi_0.997|ca_0.003
3-crosslingual,retail,chinese,azure/kimi-k2.5,kimi-k2.5,user,1,1763,0.982416,22,3.0,en_0.009|de_0.003|fr_0.003|it_0.001|wuu_0.001,zh_0.982|en_0.009|de_0.003|fr_0.003|it_0.001|wuu_0.001
3-crosslingual,retail,chinese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b,user,1,1686,0.984579,16,3.0,en_0.007|de_0.004|fr_0.004|als_0.001|wuu_0.001,zh_0.985|en_0.007|de_0.004|fr_0.004|als_0.001|wuu_0.001
3-crosslingual,retail,chinese,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,1714,0.946908,70,18.5,en_0.041|de_0.005|es_0.002|ja_0.002|fr_0.001|wuu_0.001,zh_0.947|en_0.041|de_0.005|es_0.002|ja_0.002|fr_0.001|wuu_0.001
3-crosslingual,retail,chinese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,1546,0.982536,18,3.0,en_0.006|fr_0.005|de_0.004|ja_0.001|wuu_0.001,zh_0.983|en_0.006|fr_0.005|de_0.004|ja_0.001|wuu_0.001
3-crosslingual,retail,filipino,azure/kimi-k2.5,kimi-k2.5,user,1,1967,0.747839,204,3.0,en_0.209|de_0.007|io_0.007|fr_0.004|pt_0.004|es_0.003|lt_0.003|sh_0.003|it_0.002|la_0.002|br_0.001|cy_0.001|hr_0.001|hu_0.001|id_0.001|ms_0.001|nl_0.001|qu_0.001|ro_0.001|ru_0.001|sco_0.001|si_0.001|sq_0.001,tl_0.748|en_0.209|de_0.007|io_0.007|fr_0.004|pt_0.004|es_0.003|lt_0.003|sh_0.003|it_0.002|la_0.002|br_0.001|cy_0.001|hr_0.001|hu_0.001|id_0.001|ms_0.001|nl_0.001|qu_0.001|ro_0.001|ru_0.001|sco_0.001|si_0.001|sq_0.001
3-crosslingual,retail,filipino,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b,user,1,1814,0.772326,182,3.0,en_0.188|de_0.006|io_0.006|es_0.003|hu_0.003|id_0.003|eo_0.002|it_0.002|la_0.002|lt_0.002|pt_0.002|ar_0.001|br_0.001|bs_0.001|ca_0.001|fr_0.001|gl_0.001|hr_0.001|ilo_0.001|nl_0.001|pl_0.001|ro_0.001|ru_0.001|sh_0.001|war_0.001,tl_0.772|en_0.188|de_0.006|io_0.006|es_0.003|hu_0.003|id_0.003|eo_0.002|it_0.002|la_0.002|lt_0.002|pt_0.002|ar_0.001|br_0.001|bs_0.001|ca_0.001|fr_0.001|gl_0.001|hr_0.001|ilo_0.001|nl_0.001|pl_0.001|ro_0.001|ru_0.001|sh_0.001|war_0.001
3-crosslingual,retail,filipino,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,1894,0.778247,209,3.0,en_0.194|io_0.004|de_0.003|it_0.003|sh_0.002|uk_0.002|br_0.001|da_0.001|eo_0.001|es_0.001|et_0.001|fr_0.001|hr_0.001|ilo_0.001|jv_0.001|lt_0.001|nl_0.001|no_0.001|oc_0.001|pl_0.001|ro_0.001|ru_0.001|sco_0.001|sq_0.001|ta_0.001|tg_0.001|tr_0.001|vi_0.001,tl_0.778|en_0.194|io_0.004|de_0.003|it_0.003|sh_0.002|uk_0.002|br_0.001|da_0.001|eo_0.001|es_0.001|et_0.001|fr_0.001|hr_0.001|ilo_0.001|jv_0.001|lt_0.001|nl_0.001|no_0.001|oc_0.001|pl_0.001|ro_0.001|ru_0.001|sco_0.001|sq_0.001|ta_0.001|tg_0.001|tr_0.001|vi_0.001
3-crosslingual,retail,filipino,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,1784,0.744395,203,3.0,en_0.219|de_0.008|fr_0.005|io_0.004|es_0.003|id_0.003|it_0.002|ru_0.002|sh_0.002|uk_0.002|br_0.001|eo_0.001|ja_0.001|jv_0.001|lt_0.001|ro_0.001|tg_0.001|vi_0.001,tl_0.744|en_0.219|de_0.008|fr_0.005|io_0.004|es_0.003|id_0.003|it_0.002|ru_0.002|sh_0.002|uk_0.002|br_0.001|eo_0.001|ja_0.001|jv_0.001|lt_0.001|ro_0.001|tg_0.001|vi_0.001
3-crosslingual,retail,indonesian,azure/kimi-k2.5,kimi-k2.5,user,1,1813,0.972973,38,5.0,en_0.014|ms_0.008|de_0.003|fr_0.001|it_0.001|ja_0.001,id_0.973|en_0.014|ms_0.008|de_0.003|fr_0.001|it_0.001|ja_0.001
3-crosslingual,retail,indonesian,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b,user,1,1718,0.970896,39,3.0,en_0.016|ms_0.006|de_0.005|fr_0.001|ja_0.001|nl_0.001|ru_0.001,id_0.971|en_0.016|ms_0.006|de_0.005|fr_0.001|ja_0.001|nl_0.001|ru_0.001
3-crosslingual,retail,indonesian,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,1666,0.932173,84,17.0,en_0.050|ms_0.007|es_0.002|it_0.002|ru_0.002|ar_0.001|br_0.001|ca_0.001|de_0.001|eo_0.001|jv_0.001|sw_0.001,id_0.932|en_0.050|ms_0.007|es_0.002|it_0.002|ru_0.002|ar_0.001|br_0.001|ca_0.001|de_0.001|eo_0.001|jv_0.001|sw_0.001
3-crosslingual,retail,indonesian,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,1672,0.962321,44,3.0,en_0.019|de_0.005|fr_0.005|ms_0.005|ja_0.002|it_0.001|nl_0.001|ru_0.001|sv_0.001,id_0.962|en_0.019|de_0.005|fr_0.005|ms_0.005|ja_0.002|it_0.001|nl_0.001|ru_0.001|sv_0.001
3-crosslingual,retail,thai,azure/kimi-k2.5,kimi-k2.5,user,1,1570,0.983439,18,3.0,en_0.008|de_0.004|fr_0.003|ru_0.002,th_0.983|en_0.008|de_0.004|fr_0.003|ru_0.002
3-crosslingual,retail,thai,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b,user,1,1604,0.991895,12,3.0,de_0.004|en_0.004|fr_0.001,th_0.992|de_0.004|en_0.004|fr_0.001
3-crosslingual,retail,thai,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,1635,0.954128,55,16.0,en_0.038|de_0.001|es_0.001|fa_0.001|fr_0.001|it_0.001|ru_0.001|ta_0.001|uk_0.001|zh_0.001,th_0.954|en_0.038|de_0.001|es_0.001|fa_0.001|fr_0.001|it_0.001|ru_0.001|ta_0.001|uk_0.001|zh_0.001
3-crosslingual,retail,vietnamese,azure/kimi-k2.5,kimi-k2.5,user,1,1736,0.961982,37,3.0,en_0.022|de_0.006|fr_0.005|no_0.002|ja_0.001|pt_0.001|ru_0.001,vi_0.962|en_0.022|de_0.006|fr_0.005|no_0.002|ja_0.001|pt_0.001|ru_0.001
3-crosslingual,retail,vietnamese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b,user,1,1629,0.978514,24,3.0,en_0.012|de_0.005|ca_0.002|fr_0.002|ht_0.001,vi_0.979|en_0.012|de_0.005|ca_0.002|fr_0.002|ht_0.001
3-crosslingual,retail,vietnamese,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,1682,0.942925,75,15.0,en_0.044|es_0.004|de_0.002|it_0.002|ru_0.002|ca_0.001|et_0.001|no_0.001|pt_0.001|te_0.001|uk_0.001,vi_0.943|en_0.044|es_0.004|de_0.002|it_0.002|ru_0.002|ca_0.001|et_0.001|no_0.001|pt_0.001|te_0.001|uk_0.001
3-crosslingual,retail,vietnamese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,1547,0.954105,54,3.0,en_0.027|de_0.010|fr_0.006|ja_0.001|ru_0.001|sv_0.001,vi_0.954|en_0.027|de_0.010|fr_0.006|ja_0.001|ru_0.001|sv_0.001
3-crosslingual,telecom,chinese,azure/kimi-k2.5,kimi-k2.5,user,1,2258,1.0,0,,,zh_1.000
3-crosslingual,telecom,chinese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b,user,1,1472,1.0,0,,,zh_1.000
3-crosslingual,telecom,chinese,openrouter/openai/gpt-5-mini,gpt-5-mini,user,1,2388,0.995812,9,45.0,en_0.002|ja_0.001|be_0.000|fr_0.000|la_0.000,zh_0.996|en_0.002|ja_0.001|be_0.000|fr_0.000|la_0.000
3-crosslingual,telecom,chinese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,user,1,3019,1.0,0,,,zh_1.000
3-crosslingual,telecom,filipino,azure/kimi-k2.5,kimi-k2.5,user,1,3179,0.995596,14,30.5,en_0.004|io_0.000|ro_0.000,tl_0.996|en_0.004|io_0.000|ro_0.000
