experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,simulation_source,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
19,2-multilingual-tools,airline,indonesian,id,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""tools""]",0.687,0.567,0.48,0.699,0.998102,1.0,0.998,1,527,678,it_0.002,,3,,1,0,en_0.998|it_0.002,en_1.000,
20,2-multilingual-tools,airline,thai,th,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""tools""]",0.62,0.473,0.4,0.645,0.99053,1.0,0.993,1,528,684,ru_0.004|fi_0.002|fr_0.002|pt_0.002,,11,,5,0,en_0.991|ru_0.004|fi_0.002|fr_0.002|pt_0.002,en_1.000,
21,2-multilingual-tools,airline,tool_mix_2,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.68,0.56,0.48,0.706,0.998,0.998496,0.998,1,500,665,ja_0.002,el_0.002,9,43,1,1,en_0.998|ja_0.002,en_0.998|el_0.002,
22,2-multilingual-tools,airline,tool_mix_3,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.66,0.56,0.48,0.727,0.996248,1.0,0.997,1,533,699,ar_0.002|zh_0.002,,12.0,,2,0,en_0.996|ar_0.002|zh_0.002,en_1.000,
23,2-multilingual-tools,airline,tool_mix_4,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.64,0.52,0.48,0.75,0.996337,1.0,0.995,1,546,714,ca_0.002|ja_0.002,,10.0,,2,0,en_0.996|ca_0.002|ja_0.002,en_1.000,
24,2-multilingual-tools,airline,tool_mix_5,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.64,0.513,0.44,0.688,0.994106,1.0,0.996,1,509,666,uk_0.004|it_0.002,,16.5,,2,0,en_0.994|uk_0.004|it_0.002,en_1.000,
25,2-multilingual-tools,airline,vietnamese,vi,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""tools""]",0.653,0.527,0.46,0.704,0.990826,1.0,0.994,1,545,697,fa_0.002|gu_0.002|it_0.002|kn_0.002|pt_0.002,,11,,5,0,en_0.991|fa_0.002|gu_0.002|it_0.002|kn_0.002|pt_0.002,en_1.000,
26,2-multilingual-tools,airline,chinese,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""tools""]",0.48,0.313,0.2,0.417,0.995562,1.0,0.995,1,676,826,it_0.004,,3,,3,0,en_0.996|it_0.004,en_1.000,
27,2-multilingual-tools,airline,filipino,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""tools""]",0.467,0.32,0.24,0.514,0.995658,1.0,0.996,1,691,833,it_0.004,,3,,3,0,en_0.996|it_0.004,en_1.000,
28,2-multilingual-tools,airline,indonesian,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""tools""]",0.4,0.233,0.18,0.45,0.998487,1.0,0.999,1,661,803,it_0.002,,3,,1,0,en_0.998|it_0.002,en_1.000,
29,2-multilingual-tools,airline,thai,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""tools""]",0.38,0.253,0.22,0.579,0.992722,1.0,0.995,1,687,856,fr_0.004|it_0.003,,3,,3,0,en_0.993|fr_0.004|it_0.003,en_1.000,
30,2-multilingual-tools,airline,tool_mix_2,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.44,0.28,0.2,0.455,0.995427,1.0,0.996,1,656,779,it_0.005,,3,,3,0,en_0.995|it_0.005,en_1.000,
31,2-multilingual-tools,airline,tool_mix_3,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.413,0.267,0.2,0.484,0.995671,1.0,0.995,1,693,838,it_0.004,,3,,3,0,en_0.996|it_0.004,en_1.000,
32,2-multilingual-tools,airline,tool_mix_4,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.413,0.287,0.24,0.581,0.998516,1.0,0.998,1,674,795,it_0.001,,3,,1,0,en_0.999|it_0.001,en_1.000,
33,2-multilingual-tools,airline,tool_mix_5,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.413,0.267,0.22,0.533,0.995708,1.0,0.996,1,699,821,it_0.004,,3,,3,0,en_0.996|it_0.004,en_1.000,
34,2-multilingual-tools,airline,vietnamese,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""tools""]",0.447,0.313,0.26,0.582,0.99701,1.0,0.998,1,669,790,it_0.003,,3.0,,2,0,en_0.997|it_0.003,en_1.000,
35,2-multilingual-tools,retail,chinese,zh,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""tools""]",0.719,0.579,0.482,0.67,0.995804,1.0,0.996,0.999,1430,1704,de_0.001|ja_0.001|nl_0.001|ru_0.001|sv_0.001,,5.0,,6,0,en_0.996|de_0.001|ja_0.001|nl_0.001|ru_0.001|sv_0.001,en_1.000,
36,2-multilingual-tools,retail,filipino,tl,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""tools""]",0.661,0.515,0.439,0.664,0.996585,1.0,0.996,1,1464,1730,de_0.003|it_0.001,,15,,5,0,en_0.997|de_0.003|it_0.001,en_1.000,
37,2-multilingual-tools,retail,indonesian,id,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""tools""]",0.675,0.526,0.43,0.637,0.995042,1.0,0.996,1,1412,1735,fr_0.002|hi_0.001|ru_0.001|sv_0.001|ta_0.001,,15,,7,0,en_0.995|fr_0.002|hi_0.001|ru_0.001|sv_0.001|ta_0.001,en_1.000,
38,2-multilingual-tools,retail,thai,th,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""tools""]",0.646,0.477,0.377,0.584,0.994406,1.0,0.997,1,1430,1740,fr_0.002|es_0.001|bg_0.001|la_0.001|ru_0.001,,7.0,,8,0,en_0.994|fr_0.002|es_0.001|bg_0.001|la_0.001|ru_0.001,en_1.000,
39,2-multilingual-tools,retail,tool_mix_2,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.667,0.541,0.465,0.697,0.993772,1.0,0.995,1,1445,1751,ru_0.001|es_0.001|fr_0.001|id_0.001|ja_0.001|te_0.001|tr_0.001|uk_0.001,,7,,7,0,en_0.994|ru_0.001|es_0.001|fr_0.001|id_0.001|ja_0.001|te_0.001|tr_0.001|uk_0.001,en_1.000,
40,2-multilingual-tools,retail,tool_mix_3,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.667,0.538,0.456,0.684,0.994483,1.0,0.995,1,1450,1746,uk_0.002|de_0.001|ru_0.001|ja_0.001,,17,,7,0,en_0.994|uk_0.002|de_0.001|ru_0.001|ja_0.001,en_1.000,
41,2-multilingual-tools,retail,tool_mix_4,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.652,0.485,0.386,0.592,0.997351,1.0,0.997,1,1510,1812,de_0.001|fa_0.001|fr_0.001|uk_0.001,,10.0,,4,0,en_0.997|de_0.001|fa_0.001|fr_0.001|uk_0.001,en_1.000,
42,2-multilingual-tools,retail,tool_mix_5,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.696,0.547,0.447,0.642,0.995333,1.0,0.996,1,1500,1790,fr_0.002|id_0.001|it_0.001|ja_0.001|ru_0.001,,7,,7,0,en_0.995|fr_0.002|id_0.001|it_0.001|ja_0.001|ru_0.001,en_1.000,
43,2-multilingual-tools,retail,vietnamese,vi,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""tools""]",0.681,0.532,0.43,0.631,0.996533,1.0,0.997,1,1442,1743,de_0.001|fa_0.001|fr_0.001|nl_0.001|tl_0.001,,7,,5,0,en_0.997|de_0.001|fa_0.001|fr_0.001|nl_0.001|tl_0.001,en_1.000,
44,2-multilingual-tools,retail,chinese,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""tools""]",0.594,0.433,0.36,0.606,0.988116,1.0,0.988,1,1683,1907,fr_0.005|de_0.004|uk_0.002|id_0.001,,5.0,,20,0,en_0.988|fr_0.005|de_0.004|uk_0.002|id_0.001,en_1.000,
45,2-multilingual-tools,retail,filipino,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""tools""]",0.57,0.421,0.342,0.6,0.98685,1.0,0.989,1,1673,1924,fr_0.005|de_0.004|id_0.001|sv_0.001|it_0.001|ru_0.001|uk_0.001,,4.0,,22,0,en_0.987|fr_0.005|de_0.004|id_0.001|sv_0.001|it_0.001|ru_0.001|uk_0.001,en_1.000,
46,2-multilingual-tools,retail,indonesian,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""tools""]",0.55,0.418,0.351,0.638,0.988751,1.0,0.991,1,1689,1911,fr_0.005|de_0.004|id_0.002|ro_0.001,,5,,19,0,en_0.989|fr_0.005|de_0.004|id_0.002|ro_0.001,en_1.000,
47,2-multilingual-tools,retail,thai,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""tools""]",0.561,0.421,0.351,0.626,0.988159,1.0,0.99,1,1689,1905,fr_0.005|de_0.003|id_0.001|it_0.001|pl_0.001|ru_0.001|uk_0.001,,6.0,,20,0,en_0.988|fr_0.005|de_0.003|id_0.001|it_0.001|pl_0.001|ru_0.001|uk_0.001,en_1.000,
48,2-multilingual-tools,retail,tool_mix_2,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.596,0.456,0.386,0.648,0.988045,1.0,0.99,1,1673,1879,fr_0.005|de_0.004|id_0.002|it_0.001|nl_0.001|sv_0.001,,5.0,,20,0,en_0.988|fr_0.005|de_0.004|id_0.002|it_0.001|nl_0.001|sv_0.001,en_1.000,
