experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
13,l2_domain,airline,chinese,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.5,0.473,0.46,0.92,1.0,1.0,1.0,1.0,617,717,,,,,0,0,zh_1.000,zh_1.000,
14,l2_domain,airline,filipino,tl,tl,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.56,0.433,0.38,0.679,0.931559,0.877581,0.951,0.832,526,678,en_0.040|it_0.006|es_0.004|la_0.004|ceb_0.002|et_0.002|id_0.002|no_0.002|pl_0.002|ru_0.002|sah_0.002|si_0.002,en_0.122,9.0,13.0,27,83,tl_0.932|en_0.040|it_0.006|es_0.004|la_0.004|ceb_0.002|et_0.002|id_0.002|no_0.002|pl_0.002|ru_0.002|sah_0.002|si_0.002,tl_0.878|en_0.122,
15,l2_domain,airline,filipino,tl,tl,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-24-16-49-00_translated_airline_trial-3_tl_kimi-k2.5_vertex_ai_default_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.6,0.48,0.4,0.667,0.969355,0.946176,0.977,0.944,620,1059,en_0.013|fr_0.006|ceb_0.003|ro_0.003|ca_0.002|it_0.002|lt_0.002,en_0.054,14.0,14.0,11,53,tl_0.969|en_0.013|fr_0.006|ceb_0.003|ro_0.003|ca_0.002|it_0.002|lt_0.002,tl_0.946|en_0.054,
16,l2_domain,airline,filipino,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.473,0.42,0.4,0.846,0.973765,0.950067,0.976,0.941,648,741,en_0.009|it_0.006|ca_0.005|lt_0.003|hu_0.002|io_0.002,en_0.050,3.0,16.0,15,37,tl_0.974|en_0.009|it_0.006|ca_0.005|lt_0.003|hu_0.002|io_0.002,tl_0.950|en_0.050,
17,l2_domain,airline,indonesian,id,id,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.6,0.54,0.5,0.833,0.955285,0.846906,0.963,0.796,492,614,en_0.018|sw_0.014|ms_0.004|eo_0.002|es_0.002|fr_0.002|jv_0.002,en_0.151|it_0.002,11.0,12.0,17,91,id_0.955|en_0.018|sw_0.014|ms_0.004|eo_0.002|es_0.002|fr_0.002|jv_0.002,id_0.847|en_0.151|it_0.002,
18,l2_domain,airline,indonesian,id,id,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-24-10-59-14_translated_airline_trial-3_id_kimi-k2.5_vertex_ai_default_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.6,0.487,0.42,0.7,0.994652,0.95987,0.995,0.955,561,922,ms_0.005,en_0.039|ms_0.001,13.0,14.0,3,37,id_0.995|ms_0.005,id_0.960|en_0.039|ms_0.001,
19,l2_domain,airline,indonesian,id,id,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.48,0.44,0.42,0.875,0.991098,0.962963,0.991,0.96,674,783,ca_0.003|ja_0.003|ms_0.003,en_0.037,10.0,16.0,4,29,id_0.991|ca_0.003|ja_0.003|ms_0.003,id_0.963|en_0.037,
20,l2_domain,airline,thai,th,th,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.593,0.453,0.36,0.607,0.995246,0.994358,0.993,0.994,631,709,en_0.005,en_0.006,8.0,16.0,3,4,th_0.995|en_0.005,th_0.994|en_0.006,
21,l2_domain,airline,thai,th,th,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.547,0.387,0.3,0.548,1.0,1.0,1.0,1.0,573,1031,,,,,0,0,th_1.000,th_1.000,
22,l2_domain,airline,thai,th,th,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.46,0.413,0.38,0.826,1.0,1.0,1.0,1.0,579,646,,,,,0,0,th_1.000,th_1.000,
23,l2_domain,airline,vietnamese,vi,vi,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.54,0.4,0.32,0.593,0.986441,0.998632,0.989,0.997,590,731,en_0.005|es_0.005|ca_0.003,en_0.001,16.5,4.0,6,1,vi_0.986|en_0.005|es_0.005|ca_0.003,vi_0.999|en_0.001,
24,l2_domain,airline,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.56,0.427,0.34,0.607,1.0,1.0,1.0,1.0,597,1032,,,,,0,0,vi_1.000,vi_1.000,
25,l2_domain,airline,vietnamese,vi,vi,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.487,0.46,0.44,0.903,1.0,0.998632,1.0,0.999,607,731,,en_0.001,,18.0,0,1,vi_1.000,vi_0.999|en_0.001,
26,l2_domain,retail,chinese,zh,zh,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.596,0.45,0.368,0.617,0.978964,0.973166,0.981,0.973,1949,2385,en_0.009|ja_0.004|yue_0.002|de_0.001|fr_0.001|ru_0.001|uk_0.001|es_0.001|hu_0.001|kn_0.001|wuu_0.001,en_0.026|ko_0.001,16.5,19.0,30,48,zh_0.979|en_0.009|ja_0.004|yue_0.002|de_0.001|fr_0.001|ru_0.001|uk_0.001|es_0.001|hu_0.001|kn_0.001|wuu_0.001,zh_0.973|en_0.026|ko_0.001,
27,l2_domain,retail,chinese,zh,zh,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.607,0.45,0.366,0.603,0.988964,0.999646,0.99,1.0,1631,2825,de_0.004|ja_0.003|fr_0.002|en_0.001|hu_0.001|sr_0.001,ko_0.000,3.0,32.0,16,1,zh_0.989|de_0.004|ja_0.003|fr_0.002|en_0.001|hu_0.001|sr_0.001,zh_1.000|ko_0.000,
28,l2_domain,retail,chinese,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.266,0.181,0.149,0.56,0.982792,1.0,0.985,1.0,1569,1780,en_0.006|de_0.005|fr_0.003|hu_0.002|uk_0.001|es_0.001,,3.0,,22,0,zh_0.983|en_0.006|de_0.005|fr_0.003|hu_0.002|uk_0.001|es_0.001,zh_1.000,
29,l2_domain,retail,filipino,tl,tl,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.488,0.333,0.263,0.539,0.953527,0.966938,0.958,0.97,1786,1966,en_0.024|ceb_0.004|id_0.003|es_0.002|ja_0.002|war_0.002|hr_0.001|ru_0.001|sh_0.001|bn_0.001|ca_0.001|de_0.001|fr_0.001|io_0.001|it_0.001|lt_0.001|ms_0.001|nl_0.001|ro_0.001|sco_0.001|so_0.001|ug_0.001,en_0.033,13.0,30.0,64,63,tl_0.954|en_0.024|ceb_0.004|id_0.003|es_0.002|ja_0.002|war_0.002|hr_0.001|ru_0.001|sh_0.001|bn_0.001|ca_0.001|de_0.001|fr_0.001|io_0.001|it_0.001|lt_0.001|ms_0.001|nl_0.001|ro_0.001|sco_0.001|so_0.001|ug_0.001,tl_0.967|en_0.033,
30,l2_domain,retail,filipino,tl,tl,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.444,0.292,0.219,0.493,0.935641,0.958861,0.945,0.965,1647,2528,en_0.035|lt_0.007|fr_0.005|de_0.004|id_0.002|ro_0.002|ceb_0.001|io_0.001|it_0.001|als_0.001|gl_0.001|hr_0.001|kk_0.001|la_0.001|ru_0.001|sh_0.001|tr_0.001,en_0.039|ms_0.002|su_0.000,5.0,19.0,70,81,tl_0.936|en_0.035|lt_0.007|fr_0.005|de_0.004|id_0.002|ro_0.002|ceb_0.001|io_0.001|it_0.001|als_0.001|gl_0.001|hr_0.001|kk_0.001|la_0.001|ru_0.001|sh_0.001|tr_0.001,tl_0.959|en_0.039|ms_0.002|su_0.000,
31,l2_domain,retail,filipino,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.26,0.187,0.158,0.608,0.932898,0.951688,0.942,0.959,1684,1925,en_0.035|lt_0.010|de_0.004|ceb_0.003|id_0.003|fr_0.001|io_0.001|it_0.001|ru_0.001|sh_0.001|es_0.001|gl_0.001|hu_0.001|ja_0.001|la_0.001|lv_0.001|ms_0.001|nl_0.001|ro_0.001|sq_0.001|war_0.001,en_0.048,5.0,26.0,84,90,tl_0.933|en_0.035|lt_0.010|de_0.004|ceb_0.003|id_0.003|fr_0.001|io_0.001|it_0.001|ru_0.001|sh_0.001|es_0.001|gl_0.001|hu_0.001|ja_0.001|la_0.001|lv_0.001|ms_0.001|nl_0.001|ro_0.001|sq_0.001|war_0.001,tl_0.952|en_0.048,
32,l2_domain,retail,indonesian,id,id,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-01-37-48_retail_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.541,0.392,0.325,0.601,0.961464,0.95027,0.965,0.954,1557,1850,en_0.017|ms_0.006|sw_0.006|es_0.002|sk_0.002|eo_0.001|it_0.001|az_0.001|de_0.001|tr_0.001,en_0.050,17.0,28.0,53,91,id_0.961|en_0.017|ms_0.006|sw_0.006|es_0.002|sk_0.002|eo_0.001|it_0.001|az_0.001|de_0.001|tr_0.001,id_0.950|en_0.050,
33,l2_domain,retail,indonesian,id,id,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-13-20-23_translated_retail_trial-3_id_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.433,0.287,0.202,0.467,0.975934,0.978876,0.981,0.98,1579,2225,en_0.008|ms_0.007|de_0.004|fr_0.003|gu_0.001|it_0.001|sw_0.001,en_0.020|ms_0.001,3.0,26.0,28,47,id_0.976|en_0.008|ms_0.007|de_0.004|fr_0.003|gu_0.001|it_0.001|sw_0.001,id_0.979|en_0.020|ms_0.001,
34,l2_domain,retail,indonesian,id,id,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.243,0.17,0.14,0.576,0.971429,0.963247,0.976,0.968,1680,1959,en_0.017|ms_0.005|de_0.004|es_0.001|nl_0.001|sw_0.001|tr_0.001,en_0.035|ms_0.002,3.0,28.0,41,72,id_0.971|en_0.017|ms_0.005|de_0.004|es_0.001|nl_0.001|sw_0.001|tr_0.001,id_0.963|en_0.035|ms_0.002,
35,l2_domain,retail,thai,th,th,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.325,0.175,0.123,0.378,0.996263,0.997132,0.997,0.997,1873,2092,en_0.002|ru_0.001|de_0.001,en_0.003,19.0,7.0,4,6,th_0.996|en_0.002|ru_0.001|de_0.001,th_0.997|en_0.003,
36,l2_domain,retail,thai,th,th,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-14-24-20_translated_retail_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.327,0.19,0.114,0.349,0.995228,1.0,0.996,1.0,1467,2623,de_0.003|en_0.001|ru_0.001,,3.0,,6,0,th_0.995|de_0.003|en_0.001|ru_0.001,th_1.000,
37,l2_domain,retail,thai,th,th,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.178,0.143,0.132,0.742,0.992409,0.999409,0.993,1.0,1449,1691,de_0.003|en_0.003|it_0.001,en_0.001,3.0,8.0,11,1,th_0.992|de_0.003|en_0.003|it_0.001,th_0.999|en_0.001,
38,l2_domain,retail,vietnamese,vi,vi,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-14-30-34_translated_retail_trial-3_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.585,0.427,0.333,0.569,0.992602,0.998394,0.991,0.998,1622,1868,es_0.002|ca_0.001|en_0.001|de_0.001|fr_0.001|ru_0.001|uk_0.001|war_0.001,en_0.002,15.0,20.0,11,3,vi_0.993|es_0.002|ca_0.001|en_0.001|de_0.001|fr_0.001|ru_0.001|uk_0.001|war_0.001,vi_0.998|en_0.002,
39,l2_domain,retail,vietnamese,vi,vi,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-18-22-37-59_translated_retail_trial-3_vi_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.567,0.392,0.268,0.473,0.992141,0.999591,0.993,0.999,1527,2443,de_0.003|en_0.002|ru_0.002|fr_0.001,en_0.000,3.0,18.0,10,1,vi_0.992|de_0.003|en_0.002|ru_0.002|fr_0.001,vi_1.000|en_0.000,
40,l2_domain,retail,vietnamese,vi,vi,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.289,0.205,0.149,0.516,0.98123,0.999469,0.986,1.0,1545,1885,en_0.005|fr_0.003|de_0.003|ru_0.002|eu_0.001|pl_0.001|uk_0.001|ca_0.001|hu_0.001|it_0.001,en_0.001,3.0,18.0,20,1,vi_0.981|en_0.005|fr_0.003|de_0.003|ru_0.002|eu_0.001|pl_0.001|uk_0.001|ca_0.001|hu_0.001|it_0.001,vi_0.999|en_0.001,
41,l2_domain,telecom,chinese,zh,zh,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-24-02-25-44_telecom_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.76,0.652,0.588,0.774,1.0,0.987217,1.0,0.987,1948,2034,,en_0.013,,38.0,0,25,zh_1.000,zh_0.987|en_0.013,
42,l2_domain,telecom,chinese,zh,zh,gmi/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25-02-05-17_translated_telecom_trial-3_zh_gmi-kimi-k2.5_default-user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.863,0.763,0.684,0.793,0.998794,1.0,0.999,1.0,2487,3393,en_0.001,,23.0,,3,0,zh_0.999|en_0.001,zh_1.000,
43,l2_domain,telecom,chinese,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-17-20-19_translated_telecom_trial-3_zh_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.348,0.231,0.175,0.503,0.994355,0.61609,0.996,0.66,2657,2946,en_0.006,en_0.373|ko_0.011,14.0,10.0,6,250,zh_0.994|en_0.006,zh_0.616|en_0.373|ko_0.011,
