group,group_value,domain,primary_failure_mode,count,pct_all,pct_agent_failures,total_simulations,agent_failure_count,lang,agent_llm,run
by_language,th,,premature_refusal_or_policy_misread,113,11.5,19.6,984,578,th,,
by_language,th,,translated_identifier_lookup_failure,70,7.1,12.1,984,578,th,,
by_language,th,,non_action_assertion_failure,29,2.9,5.0,984,578,th,,
by_language,th,,dialogue_or_action_loop,12,1.2,2.1,984,578,th,,
by_language,th,,wrong_read_arguments,2,0.2,0.3,984,578,th,,
by_language,tl,,success,391,26.5,,1476,1073,tl,,
by_language,tl,,non_agent_infrastructure,12,0.8,,1476,1073,tl,,
by_language,tl,,credential_or_identifier_hallucination,233,15.8,21.7,1476,1073,tl,,
by_language,tl,,tool_error_loop,112,7.6,10.4,1476,1073,tl,,
by_language,tl,,missing_required_write,533,36.1,49.7,1476,1073,tl,,
by_language,tl,,wrong_write_arguments_or_state,80,5.4,7.5,1476,1073,tl,,
by_language,tl,,premature_refusal_or_policy_misread,19,1.3,1.8,1476,1073,tl,,
by_language,tl,,non_action_assertion_failure,25,1.7,2.3,1476,1073,tl,,
by_language,tl,,dialogue_or_action_loop,43,2.9,4.0,1476,1073,tl,,
by_language,tl,,wrong_read_arguments,2,0.1,0.2,1476,1073,tl,,
by_language,tl,,language_drift,18,1.2,1.7,1476,1073,tl,,
by_language,tl,,unclassified_failure,8,0.5,0.7,1476,1073,tl,,
by_language,vi,,success,557,42.0,,1326,720,vi,,
by_language,vi,,non_agent_infrastructure,49,3.7,,1326,720,vi,,
by_language,vi,,credential_or_identifier_hallucination,139,10.5,19.3,1326,720,vi,,
by_language,vi,,tool_error_loop,136,10.3,18.9,1326,720,vi,,
by_language,vi,,missing_required_write,200,15.1,27.8,1326,720,vi,,
by_language,vi,,wrong_write_arguments_or_state,113,8.5,15.7,1326,720,vi,,
by_language,vi,,premature_refusal_or_policy_misread,90,6.8,12.5,1326,720,vi,,
by_language,vi,,non_action_assertion_failure,24,1.8,3.3,1326,720,vi,,
by_language,vi,,dialogue_or_action_loop,17,1.3,2.4,1326,720,vi,,
by_language,vi,,max_steps_or_dialogue_loop,1,0.1,0.1,1326,720,vi,,
by_language,zh,,success,507,51.5,,984,477,zh,,
by_language,zh,,credential_or_identifier_hallucination,84,8.5,17.6,984,477,zh,,
by_language,zh,,tool_error_loop,76,7.7,15.9,984,477,zh,,
by_language,zh,,missing_required_write,124,12.6,26.0,984,477,zh,,
by_language,zh,,wrong_write_arguments_or_state,101,10.3,21.2,984,477,zh,,
by_language,zh,,premature_refusal_or_policy_misread,53,5.4,11.1,984,477,zh,,
by_language,zh,,non_action_assertion_failure,27,2.7,5.7,984,477,zh,,
by_language,zh,,dialogue_or_action_loop,9,0.9,1.9,984,477,zh,,
by_language,zh,,wrong_read_arguments,3,0.3,0.6,984,477,zh,,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,success,6,1.8,,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,credential_or_identifier_hallucination,38,11.1,11.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,tool_error_loop,186,54.4,55.4,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,missing_required_write,94,27.5,28.0,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,wrong_write_arguments_or_state,3,0.9,0.9,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,non_action_assertion_failure,1,0.3,0.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,dialogue_or_action_loop,3,0.9,0.9,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,Qwen3-235B-A22B-Instruct-2507-FP8,,max_steps_or_dialogue_loop,11,3.2,3.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_agent,azure/gpt-5-mini,,success,1472,52.5,,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,credential_or_identifier_hallucination,50,1.8,3.8,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,tool_error_loop,132,4.7,9.9,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,missing_required_write,376,13.4,28.3,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,wrong_write_arguments_or_state,345,12.3,25.9,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,missing_user_device_instruction,91,3.2,6.8,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,premature_refusal_or_policy_misread,198,7.1,14.9,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,translated_identifier_lookup_failure,50,1.8,3.8,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,non_action_assertion_failure,86,3.1,6.5,2802,1330,,azure/gpt-5-mini,
by_agent,azure/gpt-5-mini,,wrong_read_arguments,2,0.1,0.2,2802,1330,,azure/gpt-5-mini,
by_agent,azure/kimi-k2.5,,success,377,24.8,,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,non_agent_infrastructure,32,2.1,,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,credential_or_identifier_hallucination,88,5.8,7.9,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,tool_error_loop,88,5.8,7.9,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,missing_required_write,711,46.8,64.1,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,wrong_write_arguments_or_state,50,3.3,4.5,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,premature_refusal_or_policy_misread,76,5.0,6.9,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,translated_identifier_lookup_failure,21,1.4,1.9,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,non_action_assertion_failure,8,0.5,0.7,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,dialogue_or_action_loop,38,2.5,3.4,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,wrong_read_arguments,2,0.1,0.2,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,max_steps_or_dialogue_loop,1,0.1,0.1,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,language_drift,18,1.2,1.6,1518,1109,,azure/kimi-k2.5,
by_agent,azure/kimi-k2.5,,unclassified_failure,8,0.5,0.7,1518,1109,,azure/kimi-k2.5,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,success,793,37.4,,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,non_agent_infrastructure,29,1.4,,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,credential_or_identifier_hallucination,436,20.6,33.6,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,tool_error_loop,255,12.0,19.7,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,missing_required_write,337,15.9,26.0,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,wrong_write_arguments_or_state,112,5.3,8.6,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,premature_refusal_or_policy_misread,69,3.3,5.3,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,non_action_assertion_failure,28,1.3,2.2,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,dialogue_or_action_loop,52,2.5,4.0,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,wrong_read_arguments,6,0.3,0.5,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_agent,openrouter/qwen/qwen3.6-35b-a3b,,max_steps_or_dialogue_loop,1,0.0,0.1,2118,1296,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_language,airline / id,airline,success,199,66.3,,300,101,id,,
by_domain_language,airline / id,airline,missing_required_write,37,12.3,36.6,300,101,id,,
by_domain_language,airline / id,airline,wrong_write_arguments_or_state,33,11.0,32.7,300,101,id,,
by_domain_language,airline / id,airline,premature_refusal_or_policy_misread,21,7.0,20.8,300,101,id,,
by_domain_language,airline / id,airline,non_action_assertion_failure,10,3.3,9.9,300,101,id,,
by_domain_language,airline / th,airline,success,171,57.0,,300,129,th,,
by_domain_language,airline / th,airline,tool_error_loop,8,2.7,6.2,300,129,th,,
by_domain_language,airline / th,airline,missing_required_write,56,18.7,43.4,300,129,th,,
by_domain_language,airline / th,airline,wrong_write_arguments_or_state,24,8.0,18.6,300,129,th,,
by_domain_language,airline / th,airline,premature_refusal_or_policy_misread,12,4.0,9.3,300,129,th,,
by_domain_language,airline / th,airline,non_action_assertion_failure,19,6.3,14.7,300,129,th,,
by_domain_language,airline / th,airline,dialogue_or_action_loop,9,3.0,7.0,300,129,th,,
by_domain_language,airline / th,airline,wrong_read_arguments,1,0.3,0.8,300,129,th,,
by_domain_language,airline / tl,airline,success,212,47.1,,450,232,tl,,
by_domain_language,airline / tl,airline,non_agent_infrastructure,6,1.3,,450,232,tl,,
by_domain_language,airline / tl,airline,tool_error_loop,9,2.0,3.9,450,232,tl,,
by_domain_language,airline / tl,airline,missing_required_write,138,30.7,59.5,450,232,tl,,
by_domain_language,airline / tl,airline,wrong_write_arguments_or_state,23,5.1,9.9,450,232,tl,,
by_domain_language,airline / tl,airline,premature_refusal_or_policy_misread,12,2.7,5.2,450,232,tl,,
by_domain_language,airline / tl,airline,non_action_assertion_failure,14,3.1,6.0,450,232,tl,,
by_domain_language,airline / tl,airline,dialogue_or_action_loop,20,4.4,8.6,450,232,tl,,
by_domain_language,airline / tl,airline,wrong_read_arguments,1,0.2,0.4,450,232,tl,,
by_domain_language,airline / tl,airline,language_drift,11,2.4,4.7,450,232,tl,,
by_domain_language,airline / tl,airline,unclassified_failure,4,0.9,1.7,450,232,tl,,
by_domain_language,airline / vi,airline,success,185,61.7,,300,110,vi,,
by_domain_language,airline / vi,airline,non_agent_infrastructure,5,1.7,,300,110,vi,,
by_domain_language,airline / vi,airline,missing_required_write,33,11.0,30.0,300,110,vi,,
by_domain_language,airline / vi,airline,wrong_write_arguments_or_state,36,12.0,32.7,300,110,vi,,
by_domain_language,airline / vi,airline,premature_refusal_or_policy_misread,23,7.7,20.9,300,110,vi,,
by_domain_language,airline / vi,airline,non_action_assertion_failure,18,6.0,16.4,300,110,vi,,
by_domain_language,airline / zh,airline,success,174,58.0,,300,126,zh,,
by_domain_language,airline / zh,airline,tool_error_loop,24,8.0,19.0,300,126,zh,,
by_domain_language,airline / zh,airline,missing_required_write,42,14.0,33.3,300,126,zh,,
by_domain_language,airline / zh,airline,wrong_write_arguments_or_state,31,10.3,24.6,300,126,zh,,
by_domain_language,airline / zh,airline,premature_refusal_or_policy_misread,9,3.0,7.1,300,126,zh,,
by_domain_language,airline / zh,airline,non_action_assertion_failure,14,4.7,11.1,300,126,zh,,
by_domain_language,airline / zh,airline,dialogue_or_action_loop,5,1.7,4.0,300,126,zh,,
by_domain_language,airline / zh,airline,wrong_read_arguments,1,0.3,0.8,300,126,zh,,
by_domain_language,retail / id,retail,success,418,30.6,,1368,950,id,,
by_domain_language,retail / id,retail,credential_or_identifier_hallucination,104,7.6,10.9,1368,950,id,,
by_domain_language,retail / id,retail,tool_error_loop,293,21.4,30.8,1368,950,id,,
by_domain_language,retail / id,retail,missing_required_write,376,27.5,39.6,1368,950,id,,
by_domain_language,retail / id,retail,wrong_write_arguments_or_state,95,6.9,10.0,1368,950,id,,
by_domain_language,retail / id,retail,premature_refusal_or_policy_misread,47,3.4,4.9,1368,950,id,,
by_domain_language,retail / id,retail,translated_identifier_lookup_failure,1,0.1,0.1,1368,950,id,,
by_domain_language,retail / id,retail,non_action_assertion_failure,7,0.5,0.7,1368,950,id,,
by_domain_language,retail / id,retail,dialogue_or_action_loop,12,0.9,1.3,1368,950,id,,
by_domain_language,retail / id,retail,wrong_read_arguments,3,0.2,0.3,1368,950,id,,
by_domain_language,retail / id,retail,max_steps_or_dialogue_loop,12,0.9,1.3,1368,950,id,,
by_domain_language,retail / th,retail,success,235,34.4,,684,449,th,,
by_domain_language,retail / th,retail,credential_or_identifier_hallucination,2,0.3,0.4,684,449,th,,
by_domain_language,retail / th,retail,tool_error_loop,28,4.1,6.2,684,449,th,,
by_domain_language,retail / th,retail,missing_required_write,175,25.6,39.0,684,449,th,,
by_domain_language,retail / th,retail,wrong_write_arguments_or_state,59,8.6,13.1,684,449,th,,
by_domain_language,retail / th,retail,premature_refusal_or_policy_misread,101,14.8,22.5,684,449,th,,
by_domain_language,retail / th,retail,translated_identifier_lookup_failure,70,10.2,15.6,684,449,th,,
by_domain_language,retail / th,retail,non_action_assertion_failure,10,1.5,2.2,684,449,th,,
by_domain_language,retail / th,retail,dialogue_or_action_loop,3,0.4,0.7,684,449,th,,
by_domain_language,retail / th,retail,wrong_read_arguments,1,0.1,0.2,684,449,th,,
by_domain_language,retail / tl,retail,success,179,17.4,,1026,841,tl,,
by_domain_language,retail / tl,retail,non_agent_infrastructure,6,0.6,,1026,841,tl,,
by_domain_language,retail / tl,retail,credential_or_identifier_hallucination,233,22.7,27.7,1026,841,tl,,
by_domain_language,retail / tl,retail,tool_error_loop,103,10.0,12.2,1026,841,tl,,
by_domain_language,retail / tl,retail,missing_required_write,395,38.5,47.0,1026,841,tl,,
by_domain_language,retail / tl,retail,wrong_write_arguments_or_state,57,5.6,6.8,1026,841,tl,,
by_domain_language,retail / tl,retail,premature_refusal_or_policy_misread,7,0.7,0.8,1026,841,tl,,
by_domain_language,retail / tl,retail,non_action_assertion_failure,11,1.1,1.3,1026,841,tl,,
by_domain_language,retail / tl,retail,dialogue_or_action_loop,23,2.2,2.7,1026,841,tl,,
by_domain_language,retail / tl,retail,wrong_read_arguments,1,0.1,0.1,1026,841,tl,,
by_domain_language,retail / tl,retail,language_drift,7,0.7,0.8,1026,841,tl,,
by_domain_language,retail / tl,retail,unclassified_failure,4,0.4,0.5,1026,841,tl,,
by_domain_language,retail / vi,retail,success,372,36.3,,1026,610,vi,,
by_domain_language,retail / vi,retail,non_agent_infrastructure,44,4.3,,1026,610,vi,,
by_domain_language,retail / vi,retail,credential_or_identifier_hallucination,139,13.5,22.8,1026,610,vi,,
by_domain_language,retail / vi,retail,tool_error_loop,136,13.3,22.3,1026,610,vi,,
by_domain_language,retail / vi,retail,missing_required_write,167,16.3,27.4,1026,610,vi,,
by_domain_language,retail / vi,retail,wrong_write_arguments_or_state,77,7.5,12.6,1026,610,vi,,
by_domain_language,retail / vi,retail,premature_refusal_or_policy_misread,67,6.5,11.0,1026,610,vi,,
by_domain_language,retail / vi,retail,non_action_assertion_failure,6,0.6,1.0,1026,610,vi,,
by_domain_language,retail / vi,retail,dialogue_or_action_loop,17,1.7,2.8,1026,610,vi,,
by_domain_language,retail / vi,retail,max_steps_or_dialogue_loop,1,0.1,0.2,1026,610,vi,,
by_domain_language,retail / zh,retail,success,333,48.7,,684,351,zh,,
by_domain_language,retail / zh,retail,credential_or_identifier_hallucination,84,12.3,23.9,684,351,zh,,
by_domain_language,retail / zh,retail,tool_error_loop,52,7.6,14.8,684,351,zh,,
by_domain_language,retail / zh,retail,missing_required_write,82,12.0,23.4,684,351,zh,,
by_domain_language,retail / zh,retail,wrong_write_arguments_or_state,70,10.2,19.9,684,351,zh,,
by_domain_language,retail / zh,retail,premature_refusal_or_policy_misread,44,6.4,12.5,684,351,zh,,
by_domain_language,retail / zh,retail,non_action_assertion_failure,13,1.9,3.7,684,351,zh,,
by_domain_language,retail / zh,retail,dialogue_or_action_loop,4,0.6,1.1,684,351,zh,,
by_domain_language,retail / zh,retail,wrong_read_arguments,2,0.3,0.6,684,351,zh,,
by_domain_language,telecom / id,telecom,success,170,49.7,,342,172,id,,
by_domain_language,telecom / id,telecom,credential_or_identifier_hallucination,50,14.6,29.1,342,172,id,,
by_domain_language,telecom / id,telecom,tool_error_loop,8,2.3,4.7,342,172,id,,
by_domain_language,telecom / id,telecom,missing_required_write,17,5.0,9.9,342,172,id,,
by_domain_language,telecom / id,telecom,wrong_write_arguments_or_state,5,1.5,2.9,342,172,id,,
by_domain_language,telecom / id,telecom,missing_user_device_instruction,91,26.6,52.9,342,172,id,,
by_domain_language,telecom / id,telecom,non_action_assertion_failure,1,0.3,0.6,342,172,id,,
by_domain_agent,airline / azure/gpt-5-mini,airline,success,435,58.0,,750,315,,azure/gpt-5-mini,
by_domain_agent,airline / azure/gpt-5-mini,airline,tool_error_loop,1,0.1,0.3,750,315,,azure/gpt-5-mini,
by_domain_agent,airline / azure/gpt-5-mini,airline,missing_required_write,131,17.5,41.6,750,315,,azure/gpt-5-mini,
by_domain_agent,airline / azure/gpt-5-mini,airline,wrong_write_arguments_or_state,88,11.7,27.9,750,315,,azure/gpt-5-mini,
by_domain_agent,airline / azure/gpt-5-mini,airline,premature_refusal_or_policy_misread,42,5.6,13.3,750,315,,azure/gpt-5-mini,
by_domain_agent,airline / azure/gpt-5-mini,airline,non_action_assertion_failure,52,6.9,16.5,750,315,,azure/gpt-5-mini,
by_domain_agent,airline / azure/gpt-5-mini,airline,wrong_read_arguments,1,0.1,0.3,750,315,,azure/gpt-5-mini,
by_domain_agent,airline / azure/kimi-k2.5,airline,success,31,20.7,,150,119,,azure/kimi-k2.5,
by_domain_agent,airline / azure/kimi-k2.5,airline,tool_error_loop,4,2.7,3.4,150,119,,azure/kimi-k2.5,
by_domain_agent,airline / azure/kimi-k2.5,airline,missing_required_write,80,53.3,67.2,150,119,,azure/kimi-k2.5,
by_domain_agent,airline / azure/kimi-k2.5,airline,dialogue_or_action_loop,20,13.3,16.8,150,119,,azure/kimi-k2.5,
by_domain_agent,airline / azure/kimi-k2.5,airline,language_drift,11,7.3,9.2,150,119,,azure/kimi-k2.5,
by_domain_agent,airline / azure/kimi-k2.5,airline,unclassified_failure,4,2.7,3.4,150,119,,azure/kimi-k2.5,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,success,475,63.3,,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,non_agent_infrastructure,11,1.5,,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,tool_error_loop,36,4.8,13.6,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,missing_required_write,95,12.7,36.0,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,wrong_write_arguments_or_state,59,7.9,22.3,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,premature_refusal_or_policy_misread,35,4.7,13.3,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,non_action_assertion_failure,23,3.1,8.7,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,dialogue_or_action_loop,14,1.9,5.3,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,airline / openrouter/qwen/qwen3.6-35b-a3b,airline,wrong_read_arguments,2,0.3,0.8,750,264,,openrouter/qwen/qwen3.6-35b-a3b,
by_domain_agent,retail / Qwen3-235B-A22B-Instruct-2507-FP8,retail,success,6,1.8,,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_domain_agent,retail / Qwen3-235B-A22B-Instruct-2507-FP8,retail,credential_or_identifier_hallucination,38,11.1,11.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_domain_agent,retail / Qwen3-235B-A22B-Instruct-2507-FP8,retail,tool_error_loop,186,54.4,55.4,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_domain_agent,retail / Qwen3-235B-A22B-Instruct-2507-FP8,retail,missing_required_write,94,27.5,28.0,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_domain_agent,retail / Qwen3-235B-A22B-Instruct-2507-FP8,retail,wrong_write_arguments_or_state,3,0.9,0.9,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_domain_agent,retail / Qwen3-235B-A22B-Instruct-2507-FP8,retail,non_action_assertion_failure,1,0.3,0.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_domain_agent,retail / Qwen3-235B-A22B-Instruct-2507-FP8,retail,dialogue_or_action_loop,3,0.9,0.9,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_domain_agent,retail / Qwen3-235B-A22B-Instruct-2507-FP8,retail,max_steps_or_dialogue_loop,11,3.2,3.3,342,336,,Qwen3-235B-A22B-Instruct-2507-FP8,
by_domain_agent,retail / azure/gpt-5-mini,retail,success,867,50.7,,1710,843,,azure/gpt-5-mini,
by_domain_agent,retail / azure/gpt-5-mini,retail,tool_error_loop,123,7.2,14.6,1710,843,,azure/gpt-5-mini,
by_domain_agent,retail / azure/gpt-5-mini,retail,missing_required_write,228,13.3,27.0,1710,843,,azure/gpt-5-mini,
by_domain_agent,retail / azure/gpt-5-mini,retail,wrong_write_arguments_or_state,252,14.7,29.9,1710,843,,azure/gpt-5-mini,
by_domain_agent,retail / azure/gpt-5-mini,retail,premature_refusal_or_policy_misread,156,9.1,18.5,1710,843,,azure/gpt-5-mini,
by_domain_agent,retail / azure/gpt-5-mini,retail,translated_identifier_lookup_failure,50,2.9,5.9,1710,843,,azure/gpt-5-mini,
by_domain_agent,retail / azure/gpt-5-mini,retail,non_action_assertion_failure,33,1.9,3.9,1710,843,,azure/gpt-5-mini,
by_domain_agent,retail / azure/gpt-5-mini,retail,wrong_read_arguments,1,0.1,0.1,1710,843,,azure/gpt-5-mini,
by_domain_agent,retail / azure/kimi-k2.5,retail,success,346,25.3,,1368,990,,azure/kimi-k2.5,
by_domain_agent,retail / azure/kimi-k2.5,retail,non_agent_infrastructure,32,2.3,,1368,990,,azure/kimi-k2.5,
by_domain_agent,retail / azure/kimi-k2.5,retail,credential_or_identifier_hallucination,88,6.4,8.9,1368,990,,azure/kimi-k2.5,
by_domain_agent,retail / azure/kimi-k2.5,retail,tool_error_loop,84,6.1,8.5,1368,990,,azure/kimi-k2.5,
by_domain_agent,retail / azure/kimi-k2.5,retail,missing_required_write,631,46.1,63.7,1368,990,,azure/kimi-k2.5,
by_domain_agent,retail / azure/kimi-k2.5,retail,wrong_write_arguments_or_state,50,3.7,5.1,1368,990,,azure/kimi-k2.5,
by_domain_agent,retail / azure/kimi-k2.5,retail,premature_refusal_or_policy_misread,76,5.6,7.7,1368,990,,azure/kimi-k2.5,
by_domain_agent,retail / azure/kimi-k2.5,retail,translated_identifier_lookup_failure,21,1.5,2.1,1368,990,,azure/kimi-k2.5,
by_domain_agent,retail / azure/kimi-k2.5,retail,non_action_assertion_failure,8,0.6,0.8,1368,990,,azure/kimi-k2.5,
