experiments_all_line,scenario,scenario_label,domain,language,language_label,lang_id,expected_language,agent_llm,agent_family,normalized_agent_llm,simulation_source,results_json,role,turn_count,target_turn_count,non_target_turn_count,english_turn_count,language_correctness,non_target_share,english_share,detected_lang_proportion,detected_lang_proportion_json
16,l2_domain,L2 Domain,airline,filipino,TL,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,741,704,37,37,0.950067,0.049933,0.049933,tl_0.950|en_0.050,"{""en"":0.049933,""tl"":0.950067}"
16,l2_domain,L2 Domain,airline,filipino,TL,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,648,631,17,6,0.973765,0.026235,0.009259,tl_0.974|en_0.009|it_0.006|ca_0.005|lt_0.003|hu_0.002|io_0.002,"{""ca"":0.00463,""en"":0.009259,""hu"":0.001543,""io"":0.001543,""it"":0.006173,""lt"":0.003086,""tl"":0.973765}"
17,l2_domain,L2 Domain,airline,indonesian,ID,id,id,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,614,520,94,93,0.846906,0.153094,0.151466,id_0.847|en_0.151|it_0.002,"{""en"":0.151466,""id"":0.846906,""it"":0.001629}"
17,l2_domain,L2 Domain,airline,indonesian,ID,id,id,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,492,470,22,9,0.955285,0.044715,0.018293,id_0.955|en_0.018|sw_0.014|ms_0.004|eo_0.002|es_0.002|fr_0.002|jv_0.002,"{""en"":0.018293,""eo"":0.002033,""es"":0.002033,""fr"":0.002033,""id"":0.955285,""jv"":0.002033,""ms"":0.004065,""sw"":0.014228}"
18,l2_domain,L2 Domain,airline,indonesian,ID,id,id,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-24-10-59-14_translated_airline_trial-3_id_kimi-k2.5_vertex_ai_default_user,data/simulations/l2_domain/2026-05-24-10-59-14_translated_airline_trial-3_id_kimi-k2.5_vertex_ai_default_user/results.json,agent,922,885,37,36,0.95987,0.04013,0.039046,id_0.960|en_0.039|ms_0.001,"{""en"":0.039046,""id"":0.95987,""ms"":0.001085}"
18,l2_domain,L2 Domain,airline,indonesian,ID,id,id,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-24-10-59-14_translated_airline_trial-3_id_kimi-k2.5_vertex_ai_default_user,data/simulations/l2_domain/2026-05-24-10-59-14_translated_airline_trial-3_id_kimi-k2.5_vertex_ai_default_user/results.json,user,561,558,3,0,0.994652,0.005348,0.0,id_0.995|ms_0.005,"{""id"":0.994652,""ms"":0.005348}"
19,l2_domain,L2 Domain,airline,indonesian,ID,id,id,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,783,754,29,29,0.962963,0.037037,0.037037,id_0.963|en_0.037,"{""en"":0.037037,""id"":0.962963}"
19,l2_domain,L2 Domain,airline,indonesian,ID,id,id,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,674,668,6,0,0.991098,0.008902,0.0,id_0.991|ca_0.003|ja_0.003|ms_0.003,"{""ca"":0.002967,""id"":0.991098,""ja"":0.002967,""ms"":0.002967}"
20,l2_domain,L2 Domain,airline,thai,TH,th,th,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,709,705,4,4,0.994358,0.005642,0.005642,th_0.994|en_0.006,"{""en"":0.005642,""th"":0.994358}"
20,l2_domain,L2 Domain,airline,thai,TH,th,th,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,631,628,3,3,0.995246,0.004754,0.004754,th_0.995|en_0.005,"{""en"":0.004754,""th"":0.995246}"
21,l2_domain,L2 Domain,airline,thai,TH,th,th,openai/moonshotai/Kimi-K2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/l2_domain/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,agent,1031,1031,0,0,1.0,0.0,0.0,th_1.000,"{""th"":1.0}"
21,l2_domain,L2 Domain,airline,thai,TH,th,th,openai/moonshotai/Kimi-K2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/l2_domain/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,user,573,573,0,0,1.0,0.0,0.0,th_1.000,"{""th"":1.0}"
22,l2_domain,L2 Domain,airline,thai,TH,th,th,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,646,646,0,0,1.0,0.0,0.0,th_1.000,"{""th"":1.0}"
22,l2_domain,L2 Domain,airline,thai,TH,th,th,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,579,579,0,0,1.0,0.0,0.0,th_1.000,"{""th"":1.0}"
23,l2_domain,L2 Domain,airline,vietnamese,VI,vi,vi,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,731,730,1,1,0.998632,0.001368,0.001368,vi_0.999|en_0.001,"{""en"":0.001368,""vi"":0.998632}"
23,l2_domain,L2 Domain,airline,vietnamese,VI,vi,vi,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,590,582,8,3,0.986441,0.013559,0.005085,vi_0.986|en_0.005|es_0.005|ca_0.003,"{""ca"":0.00339,""en"":0.005085,""es"":0.005085,""vi"":0.986441}"
24,l2_domain,L2 Domain,airline,vietnamese,VI,vi,vi,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user,data/simulations/l2_domain/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user/results.json,agent,1032,1032,0,0,1.0,0.0,0.0,vi_1.000,"{""vi"":1.0}"
24,l2_domain,L2 Domain,airline,vietnamese,VI,vi,vi,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user,data/simulations/l2_domain/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user/results.json,user,597,597,0,0,1.0,0.0,0.0,vi_1.000,"{""vi"":1.0}"
25,l2_domain,L2 Domain,airline,vietnamese,VI,vi,vi,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,731,730,1,1,0.998632,0.001368,0.001368,vi_0.999|en_0.001,"{""en"":0.001368,""vi"":0.998632}"
25,l2_domain,L2 Domain,airline,vietnamese,VI,vi,vi,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,607,607,0,0,1.0,0.0,0.0,vi_1.000,"{""vi"":1.0}"
26,l2_domain,L2 Domain,retail,chinese,ZH,zh,zh,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,2385,2321,64,62,0.973166,0.026834,0.025996,zh_0.973|en_0.026|ko_0.001,"{""en"":0.025996,""ko"":0.000839,""zh"":0.973166}"
26,l2_domain,L2 Domain,retail,chinese,ZH,zh,zh,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,1949,1908,41,18,0.978964,0.021036,0.009236,zh_0.979|en_0.009|ja_0.004|yue_0.002|de_0.001|fr_0.001|ru_0.001|uk_0.001|es_0.001|hu_0.001|kn_0.001|wuu_0.001,"{""de"":0.001026,""en"":0.009236,""es"":0.000513,""fr"":0.001026,""hu"":0.000513,""ja"":0.004105,""kn"":0.000513,""ru"":0.001026,""uk"":0.001026,""wuu"":0.000513,""yue"":0.001539,""zh"":0.978964}"
27,l2_domain,L2 Domain,retail,chinese,ZH,zh,zh,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,2825,2824,1,0,0.999646,0.000354,0.0,zh_1.000|ko_0.000,"{""ko"":0.000354,""zh"":0.999646}"
27,l2_domain,L2 Domain,retail,chinese,ZH,zh,zh,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,1631,1613,18,2,0.988964,0.011036,0.001226,zh_0.989|de_0.004|ja_0.003|fr_0.002|en_0.001|hu_0.001|sr_0.001,"{""de"":0.003679,""en"":0.001226,""fr"":0.001839,""hu"":0.000613,""ja"":0.003066,""sr"":0.000613,""zh"":0.988964}"
28,l2_domain,L2 Domain,retail,chinese,ZH,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,1780,1780,0,0,1.0,0.0,0.0,zh_1.000,"{""zh"":1.0}"
28,l2_domain,L2 Domain,retail,chinese,ZH,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,1569,1542,27,9,0.982792,0.017208,0.005736,zh_0.983|en_0.006|de_0.005|fr_0.003|hu_0.002|uk_0.001|es_0.001,"{""de"":0.005099,""en"":0.005736,""es"":0.000637,""fr"":0.002549,""hu"":0.001912,""uk"":0.001275,""zh"":0.982792}"
29,l2_domain,L2 Domain,retail,filipino,TL,tl,tl,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,1966,1901,65,65,0.966938,0.033062,0.033062,tl_0.967|en_0.033,"{""en"":0.033062,""tl"":0.966938}"
29,l2_domain,L2 Domain,retail,filipino,TL,tl,tl,azure/gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,1786,1703,83,42,0.953527,0.046473,0.023516,tl_0.954|en_0.024|ceb_0.004|id_0.003|es_0.002|ja_0.002|war_0.002|hr_0.001|ru_0.001|sh_0.001|bn_0.001|ca_0.001|de_0.001|fr_0.001|io_0.001|it_0.001|lt_0.001|ms_0.001|nl_0.001|ro_0.001|sco_0.001|so_0.001|ug_0.001,"{""bn"":0.00056,""ca"":0.00056,""ceb"":0.003919,""de"":0.00056,""en"":0.023516,""es"":0.00224,""fr"":0.00056,""hr"":0.00112,""id"":0.0028,""io"":0.00056,""it"":0.00056,""ja"":0.00168,""lt"":0.00056,""ms"":0.00056,""nl"":0.00056,""ro"":0.00056,""ru"":0.00112,""sco"":0.00056,""sh"":0.00112,""so"":0.00056,""tl"":0.953527,""ug"":0.00056,""war"":0.00168}"
30,l2_domain,L2 Domain,retail,filipino,TL,tl,tl,openai/moonshotai/Kimi-K2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/l2_domain/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,agent,2528,2424,104,98,0.958861,0.041139,0.038766,tl_0.959|en_0.039|ms_0.002|su_0.000,"{""en"":0.038766,""ms"":0.001978,""su"":0.000396,""tl"":0.958861}"
30,l2_domain,L2 Domain,retail,filipino,TL,tl,tl,openai/moonshotai/Kimi-K2.5,kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/l2_domain/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,user,1647,1541,106,57,0.935641,0.064359,0.034608,tl_0.936|en_0.035|lt_0.007|fr_0.005|de_0.004|id_0.002|ro_0.002|ceb_0.001|io_0.001|it_0.001|als_0.001|gl_0.001|hr_0.001|kk_0.001|la_0.001|ru_0.001|sh_0.001|tr_0.001,"{""als"":0.000607,""ceb"":0.001214,""de"":0.003643,""en"":0.034608,""fr"":0.005464,""gl"":0.000607,""hr"":0.000607,""id"":0.002429,""io"":0.001214,""it"":0.001214,""kk"":0.000607,""la"":0.000607,""lt"":0.007286,""ro"":0.002429,""ru"":0.000607,""sh"":0.000607,""tl"":0.935641,""tr"":0.000607}"
31,l2_domain,L2 Domain,retail,filipino,TL,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,agent,1925,1832,93,93,0.951688,0.048312,0.048312,tl_0.952|en_0.048,"{""en"":0.048312,""tl"":0.951688}"
31,l2_domain,L2 Domain,retail,filipino,TL,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,user,1684,1571,113,59,0.932898,0.067102,0.035036,tl_0.933|en_0.035|lt_0.010|de_0.004|ceb_0.003|id_0.003|fr_0.001|io_0.001|it_0.001|ru_0.001|sh_0.001|es_0.001|gl_0.001|hu_0.001|ja_0.001|la_0.001|lv_0.001|ms_0.001|nl_0.001|ro_0.001|sq_0.001|war_0.001,"{""ceb"":0.002969,""de"":0.003563,""en"":0.035036,""es"":0.000594,""fr"":0.001188,""gl"":0.000594,""hu"":0.000594,""id"":0.002969,""io"":0.001188,""it"":0.001188,""ja"":0.000594,""la"":0.000594,""lt"":0.010095,""lv"":0.000594,""ms"":0.000594,""nl"":0.000594,""ro"":0.000594,""ru"":0.001188,""sh"":0.001188,""sq"":0.000594,""tl"":0.932898,""war"":0.000594}"
