scenario_label,domain,language_label,role,agent_family,task_id,trial,turn_idx,expected_language,detected_language,drift_cause,after_tool_result,excluded_from_agent_language_correctness,previous_other_role_detected_language,text_snippet,simulation_source
L2 Domain,airline,ID,agent,gpt-5-mini,25,2,14,id,en,structured_tool_echo,True,False,en,"{""pesan"":""Reservasi berhasil dibuat."",""rincian_reservasi"":{""reservation_id"":""HATHAT"",""user_id"":""ivan_muller_7015"",""origin"":""DTW"",""destination"":""SEA"",""flight_type"":""sekali jalan"",""cabin"":""ekonomi"",""flights"":[{""flight_number"":""HAT097"",""origin"":""DTW"",""destination"":""PHX"",""date"":""2024-05-17"",""price"":175},{""flight_number"":""HAT251"",""origin"":""PHX"",""destination"":""SEA"",""date"":""2024-05-17"",""price"":200}],""passengers"":[{""first_name"":""Ivan"",""last_name"":""Smith"",""dob"":""1986-03-14""}],""payment_history"":[{""paym...",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,gpt-5-mini,48,2,8,id,en,structured_tool_echo,True,False,id,"{""message"":""Pembatalan berhasil diproses."",""reservation_id"":""3RK2T9"",""user_id"":""anya_garcia_5901"",""cancellation_status"":""dibatalkan"",""refunded_amount"":280,""payment_method"":""gift_card_2550356"",""refund_timeline"":""5–7 hari kerja"",""cabin"":""ekonomi dasar"",""insurance"":""tidak"",""total_baggages"":0,""passengers"":[{""first_name"":""Anya"",""last_name"":""Garcia"",""dob"":""1992-11-12""},{""first_name"":""Mei"",""last_name"":""Lee"",""dob"":""1989-12-13""}],""flights"":[{""flight_number"":""HAT214"",""origin"":""MCO"",""destination"":""PHX"",...",data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,qwen3.6-35b-a3b,23,1,24,id,en,post_tool_response,True,False,id,**Reservasi 2 (Raj Sanchez):**,data/simulations/4-translated/2026-05-18-14-55-47_translated_airline_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,ID,agent,qwen3.6-35b-a3b,23,1,26,id,de,post_tool_response,True,False,id,**Reservasi 3 (Liam Wilson):**,data/simulations/4-translated/2026-05-18-14-55-47_translated_airline_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TH,agent,gpt-5-mini,3,1,8,th,en,structured_tool_echo,False,False,th,"{""answer"":8}",data/simulations/4-translated/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TH,agent,gpt-5-mini,14,1,22,th,en,structured_tool_echo,True,False,th,"{ ""message"": ""ดำเนินการเรียบร้อยแล้วครับ — สรุปการดำเนินการที่ทำให้ตามคำร้องขอของคุณด้านล่าง:"", ""details"": { ""cancellation"": { ""old_reservation_id"": ""K1NW8N"", ""status"": ""ยกเลิกเรียบร้อย"", ""cancellation_reason"": ""ชั้นประหยัดพื้นฐานไม่สามารถแก้ไข จึงขอยกเลิกและจองใหม่"" }, ""new_reservation"": { ""reservation_id"": ""HATHAT"", ""user_id"": ""mohamed_silva_9265"", ""origin"": ""JFK"", ""destination"": ""SFO"", ""flight_type"": ""ไป-กลับ"", ""cabin"": ""ธุรกิจ"", ""flights"": [ { ""flight_number"": ""HAT023"", ""date"": ""2024-05-2...",data/simulations/4-translated/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,gpt-5-mini,3,0,8,tl,en,structured_tool_echo,False,False,tl,"{""verified_membership"":""pilak"",""baggage_numbers"":{""free_per_passenger"":2,""passengers"":2,""total_free_allowed"":4,""currently_booked"":1,""remaining_free"":3,""cost_per_extra_bag_usd"":50},""if_membership_were_ginto"":{""free_per_passenger"":3,""passengers"":2,""total_free_allowed"":6,""currently_booked"":1,""remaining_free"":5},""note"":""Ayon sa aming system, ang membership mo ay nakatala bilang PILAK. Hindi ko mababago ang membership sa system mula rito."",""available_payment_methods"":[""gift_card_2550356"",""certific...",data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,gpt-5-mini,10,0,37,tl,en,structured_tool_echo,True,False,la,"{ ""message"": ""Matagumpay na naiproseso ang pag-upgrade-only sa klase pang-negosyo para sa buong reserbasyon (4NQLHD). Narito ang detalyadong buod ng mga pagbabago at singil. Mangyaring suriin at kumpirmahin kung tama."", ""updated_reservation"": { ""reservation_id"": ""4NQLHD"", ""cabin"": ""klase pang-negosyo"", ""flights"": [ {""flight_number"": ""HAT190"", ""origin"": ""IAH"", ""destination"": ""LAS"", ""date"": ""2024-05-23"", ""price"": 249}, {""flight_number"": ""HAT047"", ""origin"": ""LAS"", ""destination"": ""SEA"", ""date"": ""...",data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,gpt-5-mini,24,0,28,tl,en,structured_tool_echo,False,False,tl,"{""action"":""book_reservation"",""user_id"":""mia_kim_4397"",""summary"":""Ibibook ko ang isang-way outbound flight ayon sa iyong hiling. Basahin at sagutin ng malinaw na \""oo\"" kung itutuloy ko ang booking."",""details"":{""pasahero"":[{""first_name"":""Mia"",""last_name"":""Kim"",""dob"":""1965-06-09""}],""flight_type"":""isang daan"",""cabin"":""basic economy"",""flights"":[{""flight_number"":""HAT014"",""date"":""2024-05-20""},{""flight_number"":""HAT250"",""date"":""2024-05-20""}],""origin"":""JFK"",""destination"":""LAX"",""insurance"":""hindi"",""tot...",data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,gpt-5-mini,14,1,34,tl,en,structured_tool_echo,True,False,tl,"{ ""status"": ""success"", ""message"": ""Matagumpay na na-rebook ang iyong original basic economy reservation para sa tatlong pasahero."", ""new_reservation"": { ""reservation_id"": ""HATHAT"", ""user_id"": ""mohamed_silva_9265"", ""origin"": ""JFK"", ""destination"": ""SFO"", ""flight_type"": ""balikan"", ""cabin"": ""basic economy"", ""flights"": [ { ""flight_number"": ""HAT023"", ""date"": ""2024-05-26"", ""price"": 69 }, { ""flight_number"": ""HAT204"", ""date"": ""2024-05-28"", ""price"": 100 }, { ""flight_number"": ""HAT021"", ""date"": ""2024-05-...",data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,gpt-5-mini,30,1,45,tl,en,structured_tool_echo,True,False,en,"{""role"":""system"",""content"":""The current time is 2024-05-15 15:00:00 EST.""}",data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,gpt-5-mini,32,1,21,tl,en,structured_tool_echo,False,False,tl,"{ ""confirmation_steps"": [ { ""step"": 1, ""action"": ""Nahanap ang reserbasyon na tututukan"", ""status"": ""completed"", ""details"": { ""reservation_id"": ""OWZ4XL"", ""original_route"": ""EWR → LAX (via MIA)"", ""created_at"": ""2024-05-09T13:43:03"" } }, { ""step"": 2, ""action"": ""Sinuri ang available na NONSTOP na flight sa 2024-05-21"", ""status"": ""completed"", ""details"": { ""found_flight"": ""HAT041 (EWR → LAX)"", ""economy_price_per_passenger"": 136, ""available_economy_seats"": 15 } }, { ""step"": 3, ""action"": ""Kinumpirma...",data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3-235b,39,0,18,tl,en,post_tool_response,True,False,tl,"Amelia, narito ang listahan ng iyong mga paparating na flight na maaaring i-cancel: 1. **Reservation ID: 8C8K4E** - Uri: Isang daan - Mula: BOS patungong DEN - Petsa: 2024-05-24 - Cabin: Klase pang-negosyo - May travel insurance: Oo 2. **Reservation ID: UDMOP1** - Uri: Balikan - Mula: SFO patungong SFO (via PHX at PHL) - Petsa: 2024-05-28 at 2024-05-29 - Cabin: Basic economy - May travel insurance: Hindi 3. **Reservation ID: XAZ3C0** - Uri: Isang daan - Mula: ATL patungong CLT - Petsa: 2024-0...",data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3-235b,18,2,64,tl,en,post_tool_response,True,False,tl,"Narito ang detalye ng pag-downgrade ng iyong limang business class na reservation papuntang **klase ekonomiya**, kasama ang refund na makukuha mo: --- ### 1. **Reservation ID: JG7FMM** - Mula: MCO → BOS → CLT - Petsa: 2024-05-21 - Orignal na Presyo (Business): $3,538 - Bagong Presyo (Economy): $241 - **Refund: $3,297** --- ### 2. **Reservation ID: 2FBBAH** - Mula: DEN → PHL → DEN at DEN → MIA → DEN - Petsa: 2024-05-28 at 2024-05-30 - Orignal na Presyo (Business): $4,420 - Bagong Presyo (Econo...",data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3-235b,7,0,38,tl,en,post_tool_response,True,False,tl,"Narito ang listahan ng iyong mga paparating na flight at ang kabuuang halaga: --- ### 1. **7WPL39** – DEN → EWR (isang daan) - **Petsa:** 2024-05-28 - **Flight:** HAT246 (DEN → DFW), HAT142 (DFW → EWR) - **Cabin:** basic economy - **Pasahero:** James Wilson, Amelia Kim - **Presyo:** $402 - **May insurance:** oo --- ### 2. **3EMQJ6** – ORD → SEA → ORD (balikan) - **Papunta:** - HAT223 (ORD → ATL) – 2024-05-25 - HAT039 (ATL → SEA) – 2024-05-25 - **Balik:** - HAT021 (SEA → JFK) – 2024-05-29 - HA...",data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3-235b,21,0,26,tl,en,post_tool_response,True,False,tl,"Narito ang mga available na one-stop flight options mula Houston (IAH) patungong Denver (DEN) noong Mayo 27, 2024, na may pinakamaikling stopover: ### Option 1: - **Flight 1**: HAT078 (IAH → ORD) - Departure: 01:00 AM - Arrival: 03:30 AM - **Flight 2**: HAT118 (ORD → DEN) - Departure: 04:00 AM - Arrival: 06:00 AM - **Total Duration**: 5 oras - **Stopover**: 30 minuto sa ORD - **Presyo (klase ekonomiya)**: $174 + $122 = $296 ### Option 2: - **Flight 1**: HAT190 (IAH → LAS) - Departure: 01:00 A...",data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3-235b,7,1,44,tl,en,post_tool_response,True,False,tl,"Narito ang kabuuan ng lahat ng iyong paparating na flight reservation: ### Mga Paparating na Reservation: 1. **XEHM4B** (LAS-ATL, upgraded): $684 2. **59XX6W** (LAS-ATL, upgraded): $873 3. **7WPL39** (DEN-EWR, one-way): $171 4. **3EMQJ6** (ORD-SEA, round-trip): $306 5. **A90KR2** (DFW-LAX, one-way): $308 6. **9MRJD4** (PHX-LAX, business class): $5,325 ### **Kabuuang Halaga ng Lahat ng Paparating na Biyahe: $7,667** Tandaan: Ang XEHM4B at 59XX6W ay **na-upgrade na** sa klase pang-negosyo at ha...",data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3-235b,39,1,18,tl,en,post_tool_response,True,False,tl,"Amelia, narito ang listahan ng iyong mga paparating na flight reservation: 1. **Reservation ID: 8C8K4E** - Uri: Isang daan - Mula: BOS patungong DEN - Petsa: 2024-05-24 - Cabin: Klase pang-negosyo - Pasahero: 2 - May travel insurance: Oo 2. **Reservation ID: UDMOP1** - Uri: Balikan - Mula: SFO patungong SFO (via PHX at PHL) - Petsa: 2024-05-28 at 2024-05-29 - Cabin: Basic economy - Pasahero: 1 - May travel insurance: Hindi 3. **Reservation ID: XAZ3C0** - Uri: Isang daan - Mula: ATL patungong...",data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,6,0,14,tl,en,post_tool_response,True,False,tl,"Kumusta po, Sophia! Nakita ko ang iyong mga reservation. Narito ang impormasyon tungkol sa iyong travel insurance: 1. **Reservation 6NSXQU** (EWR to MIA, basic economy, 1 pasahero): **Walang travel insurance** (insurance: hindi) 2. **Reservation J3SAZF** (LGA to PHX/LGA, klase pang-negosyo, 3 pasahero): **May travel insurance** (insurance: oo) 3. **Reservation PEP4E0** (CLT to PHX, basic economy, 1 pasahero): **Walang travel insurance** (insurance: hindi) 4. **Reservation NABCQ2** (BOS to MSP...",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,14,0,16,tl,en,post_tool_response,True,False,tl,"Narito ang mga detalye ng bagong booking: **Bagong Reservation Details:** - Origin: JFK - Destination: SFO - Flight type: balikan - Cabin: klase pang-negosyo - Flights: - HAT023 from JFK to SFO on 2024-05-26 - HAT204 from SFO to SEA on 2024-05-28 - HAT100 from SEA to JFK on 2024-05-28 - Passengers: Mohamed Silva, Raj Sanchez, Liam Wilson - Payment methods: - certificate_3765853: $500 - certificate_9984806: $250 - certificate_2765295: $250 - gift_card_8020792: $198 - gift_card_6136092: $129 -...",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,14,0,22,tl,en,post_tool_response,True,False,tl,"Matagumpay na na-cancel ang iyong dating reservation (K1NW8N) at na-book ang bagong reservation. **Bagong Reservation Details:** - Reservation ID: HATHAT - Origin: JFK - Destination: SFO - Flight type: balikan - Cabin: klase pang-negosyo - Flights: - HAT023 from JFK to SFO on 2024-05-26 - HAT204 from SFO to SEA on 2024-05-28 - HAT100 from SEA to JFK on 2024-05-28 - Passengers: Mohamed Silva, Raj Sanchez, Liam Wilson - Payment methods: - certificate_3765853: $500 - certificate_9984806: $250 -...",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,8,1,8,tl,en,post_tool_response,True,False,tl,"Narito ang mga available na direct flight mula ORD patungong PHL noong Mayo 26, 2024: 1. **HAT139** - 17:00 hanggang 19:00 - Basic Economy: $65 - Klase Ekonomiya: $114 - Klase Pang-negosyo: $395 2. **HAT271** - 19:00 hanggang 21:00 - Basic Economy: $83 - Klase Ekonomiya: $174 - Klase Pang-negosyo: $338 3. **HAT289** - 05:00 hanggang 07:00 - Basic Economy: $83 - Klase Ekonomiya: $161 - Klase Pang-negosyo: $253 Anong flight at cabin class ang gusto mo?",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,24,1,26,tl,en,post_tool_response,True,False,tl,"Matagumpay na na-book ang iyong bagong reserbasyon! Narito ang mga detalye ng iyong bagong reservation: - **Reservation ID:** HATHAT - **Origin:** EWR (Newark) - **Destination:** LAX (Los Angeles) - **Flight Type:** Balikan (Round-trip) - **Cabin:** Basic Economy - **Flights:** - Outbound: HAT041, Mayo 20, 2024 (EWR to LAX) - Return: HAT012, Mayo 25, 2024 (LAX to EWR) - **Passenger:** Mia Kim - **Baggage:** 1 checked bag (libre) - **Insurance:** Hindi - **Payment:** - gift_card_7359776: $39 -...",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,7,0,24,tl,en,post_tool_response,True,False,tl,Narito ang mga detalye ng iyong iba pang mga reserbasyon: **7WPL39:** - One-way from DEN to EWR - Cabin: basic economy - Passengers: James Wilson at Amelia Kim - Flight date: 2024-05-28 - Travel insurance: Oo - Total na bayad: $402 **3EMQJ6:** - Round trip from ORD to SEA - Cabin: basic economy - Passengers: Amelia Kim - Flight dates: 2024-05-25 (outbound) at 2024-05-29/30 (return) - Travel insurance: Hindi - Total na bayad: $306 **9MRJD4:** - Round trip from PHX to LAX - Cabin: klase pang-ne...,data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,16,0,14,tl,en,post_tool_response,True,False,tl,Narito ang mga available na one-stop flight mula ATL patungong PHL sa 2024-05-24: 1. **HAT110 (ATL-LGA) + HAT132 (LGA-PHL)**: - ATL-LGA: 14:00 - 16:30 - LGA-PHL: 17:00 - 18:00 - Presyo para sa economy: $105 + $190 = $295 2. **HAT110 (ATL-LGA) + HAT172 (LGA-PHL)**: - ATL-LGA: 14:00 - 16:30 - LGA-PHL: 23:00 - 00:00+1 - Presyo para sa economy: $105 + $102 = $207 3. **HAT110 (ATL-LGA) + HAT206 (LGA-PHL)**: - ATL-LGA: 14:00 - 16:30 - LGA-PHL: 18:00 - 19:00 - Presyo para sa economy: $105 + $145 = $...,data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,21,0,6,tl,en,post_tool_response,True,False,tl,"Salamat, Sofia. Nakikita ko na mayroon kang ilang reservations. Pwede mo bang sabihin kung alin ang reservation ID na may return flight mula Houston patungong Denver na gusto mong i-reschedule? Ang mga reservation IDs mo ay: OI5L9G, AQLBTL, KA7I60, I57WUD, OBUT9V, 4BMN53, Q0ZF0J.",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,22,2,8,tl,en,post_tool_response,True,False,tl,"Narito ang detalye ng iyong reservation na may ID na UM3OG5: - **Pinanggalingan**: SEA (Seattle) - **Destinasyon**: DFW (Dallas/Fort Worth) - **Uri ng Biyahe**: Balikan - **Cabin Class**: Klase Ekonomiya - **Mga Flight**: - HAT113: SEA to DFW, 2024-05-26 - HAT282: DFW to ATL, 2024-05-28 - HAT239: ATL to SEA, 2024-05-28 - **Mga Pasahero**: - Omar Rossi (1970-06-06) - Liam Lee (1989-08-12) - **Mga Bagahe**: 0 - **Travel Insurance**: Hindi Anong partikular na update ang gusto mong gawin sa iyong...",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,24,2,22,tl,en,post_tool_response,True,False,tl,"Nakita ko po ang inyong date of birth mula sa profile ninyo: **1965-06-09**. Tungkol sa bagong flight, narito po ang pinakamurang direktang round-trip option na nakita ko: **Outbound (Mayo 20, 2024):** - Flight: HAT041 - Origin: EWR (Newark) - Destination: LAX (Los Angeles) - Oras: 07:00 - 12:30 (local) - Cabin: basic economy - Presyo: $86 **Return (Mayo 25, 2024):** - Flight: HAT012 - Origin: LAX (Los Angeles) - Destination: EWR (Newark) - Oras: 12:00 - 17:30 (local) - Cabin: basic economy -...",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
L2 Domain,airline,TL,agent,qwen3.6-35b-a3b,24,2,26,tl,en,post_tool_response,True,False,tl,"Matagumpay na na-book ang inyong reserbasyon! **Reservation ID: HATHAT** **Detalye ng Booking:** - **Passenger:** Mia Kim (DOB: 1965-06-09) - **Flight Type:** Round-trip (Balikan) - **Cabin:** Basic Economy - **Flights:** - Outbound: HAT041 (EWR patungong LAX) - Mayo 20, 2024 - Return: HAT012 (LAX patungong EWR) - Mayo 25, 2024 - **Baggage:** 1 checked bag (libre) - **Insurance:** Hindi - **Payment:** - gift_card_7359776: $39 - gift_card_7773485: $124 - **Kabuuang Bayad:** $163 Salamat sa pag...",data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8
