scenario,domain,language_senario,agent_llm,normalized_agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,rho_hat_3,read_action,write_action,db_match,user_language_correctness,agent_language_correctness,total_simulations,total_tasks
l2_domain,airline,thai,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B,0.547,0.387,0.3,0.548,0.893,0.205,0.677,1.0,1.0,150,50
l2_domain,airline,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.46,0.413,0.38,0.826,0.849,0.069,0.521,1.0,1.0,150,50
l2_domain,airline,vietnamese,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.54,0.4,0.32,0.593,0.883,0.163,0.553,0.989,0.997,150,50
l2_domain,airline,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user,0.56,0.427,0.34,0.607,0.831,0.255,0.72,1.0,1.0,150,50
l2_domain,airline,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.487,0.46,0.44,0.903,0.835,0.095,0.578,1.0,0.999,150,50
l2_domain,retail,chinese,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.596,0.45,0.368,0.617,0.91,0.642,0.599,0.981,0.973,342,114
l2_domain,retail,chinese,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,0.607,0.45,0.366,0.603,0.903,0.657,0.649,0.99,1.0,342,114
l2_domain,retail,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.266,0.181,0.149,0.56,0.862,0.401,0.198,0.985,1.0,342,114
l2_domain,retail,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.488,0.333,0.263,0.539,0.892,0.539,0.5,0.958,0.97,342,114
l2_domain,retail,filipino,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B,0.444,0.292,0.219,0.493,0.941,0.49,0.518,0.945,0.965,342,114
l2_domain,retail,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.26,0.187,0.158,0.608,0.859,0.274,0.172,0.942,0.959,342,114
l2_domain,retail,indonesian,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-16-01-37-48_retail_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.541,0.392,0.325,0.601,0.911,0.57,0.564,0.965,0.954,342,114
l2_domain,retail,indonesian,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-13-20-23_translated_retail_trial-3_id_nebius-kimi-k2.5_nebius-Qwen3-235B,0.433,0.287,0.202,0.467,0.914,0.499,0.498,0.981,0.98,342,114
l2_domain,retail,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.243,0.17,0.14,0.576,0.853,0.299,0.178,0.976,0.968,342,114
l2_domain,retail,thai,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.325,0.175,0.123,0.378,0.756,0.37,0.34,0.997,0.997,342,114
l2_domain,retail,thai,openai/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-23-14-24-20_translated_retail_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B,0.327,0.19,0.114,0.349,0.915,0.416,0.423,0.996,1.0,342,114
l2_domain,retail,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.178,0.143,0.132,0.742,0.746,0.219,0.137,0.993,1.0,342,114
l2_domain,retail,vietnamese,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-14-30-34_translated_retail_trial-3_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.585,0.427,0.333,0.569,0.908,0.638,0.594,0.991,0.998,342,114
l2_domain,retail,vietnamese,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-18-22-37-59_translated_retail_trial-3_vi_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,0.567,0.392,0.268,0.473,0.927,0.541,0.563,0.993,0.999,342,114
l2_domain,retail,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-20-21-17-35_translated_retail_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.289,0.205,0.149,0.516,0.89,0.321,0.172,0.986,1.0,342,114
l2_domain,telecom,chinese,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-24-02-25-44_telecom_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.76,0.652,0.588,0.774,,0.884,0.231,1.0,0.987,342,114
l2_domain,telecom,chinese,gmi/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25-02-05-17_translated_telecom_trial-3_zh_gmi-kimi-k2.5_default-user,0.863,0.763,0.684,0.793,,0.985,0.234,0.999,1.0,342,114
l2_domain,telecom,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-17-20-19_translated_telecom_trial-3_zh_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,0.348,0.231,0.175,0.503,,0.62,0.154,0.996,0.66,342,114
l2_domain,telecom,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-24-02-05-40_telecom_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.681,0.547,0.474,0.696,,0.872,0.201,0.978,0.929,342,114
l2_domain,telecom,filipino,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25-19-45-09_telecom_tl_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,0.743,0.582,0.474,0.638,,0.931,0.264,0.999,0.98,342,114
l2_domain,telecom,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-13-36-40_translated_telecom_trial-3_tl_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,0.33,0.205,0.149,0.452,,0.654,0.113,0.996,0.723,342,114
l2_domain,telecom,indonesian,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-21-51-53_translated_telecom_trial-3_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.497,0.325,0.246,0.495,,0.8,0.24,0.994,0.995,342,114
l2_domain,telecom,indonesian,openrouter/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25_telecom_id_openrouter-kimi-k2.5_default-user,0.772,0.629,0.518,0.671,,0.932,0.234,0.997,0.996,342,114
l2_domain,telecom,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-05-17-06_translated_telecom_trial-3_id_Qwen3-235B-A22B-Instruct-2507_local_agent_localhost_user,0.427,0.295,0.211,0.494,,0.733,0.202,0.995,0.99,342,114
l2_domain,telecom,thai,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-23-21-13-48_telecom_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.599,0.447,0.36,0.601,,0.774,0.213,0.999,0.996,342,114
l2_domain,telecom,thai,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25-telecom-th-openrouter-kimi-k2.5_default-user,0.693,0.523,0.43,0.62,,0.863,0.238,0.999,1.0,342,114
l2_domain,telecom,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-11-47-07_translated_telecom_trial-3_th_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,0.284,0.143,0.079,0.278,,0.595,0.151,0.998,0.864,342,114
l2_domain,telecom,vietnamese,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-24-02-19-11_telecom_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.564,0.427,0.36,0.638,,0.784,0.173,1.0,0.918,342,114
l2_domain,telecom,vietnamese,openrouter/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25-11-01-49_translated_telecom_trial-3_vi_moonshotai-kimi-k2.5_localhost_user,0.696,0.529,0.404,0.58,,0.861,0.233,1.0,0.98,342,114
l2_domain,telecom,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-15-19-46_translated_telecom_trial-3_vi_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,0.383,0.213,0.149,0.389,,0.716,0.155,0.999,0.894,342,114
l2_interaction,airline,chinese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260419_235442_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,0.62,0.46,0.38,0.613,0.78,0.524,0.633,0.921,0.543,150,50
l2_interaction,airline,chinese,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_110356_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.76,0.64,0.58,0.763,0.905,0.646,0.78,0.999,0.803,150,50
l2_interaction,airline,chinese,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260508_013140_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese,0.46,0.3,0.22,0.478,0.908,0.565,0.48,0.992,0.746,150,50
l2_interaction,airline,filipino,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_003625_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,0.62,0.527,0.48,0.774,0.795,0.442,0.627,0.849,0.58,150,50
l2_interaction,airline,filipino,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_122502_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.747,0.653,0.6,0.803,0.93,0.66,0.76,0.934,0.691,150,50
l2_interaction,airline,filipino,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260508_040932_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino,0.44,0.313,0.26,0.591,0.914,0.458,0.463,0.937,0.7,150,50
l2_interaction,airline,indonesian,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260419_231438_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,0.627,0.447,0.36,0.574,0.824,0.551,0.627,0.911,0.607,150,50
l2_interaction,airline,indonesian,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_073621_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.74,0.653,0.6,0.811,0.923,0.619,0.76,0.996,0.811,150,50
l2_interaction,airline,indonesian,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260507_221638_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_indonesian,0.493,0.347,0.26,0.527,0.894,0.469,0.52,0.995,0.78,150,50
l2_interaction,airline,thai,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260419_222935_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,0.593,0.473,0.4,0.675,0.846,0.503,0.62,0.941,0.617,150,50
l2_interaction,airline,thai,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260511_110641_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.687,0.58,0.52,0.757,0.875,0.558,0.707,0.995,0.774,150,50
l2_interaction,airline,thai,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260507_093357_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_thai,0.487,0.373,0.32,0.657,0.795,0.354,0.513,0.988,0.73,150,50
l2_interaction,airline,vietnamese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260419_214157_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,0.64,0.5,0.42,0.656,0.806,0.599,0.66,0.928,0.641,150,50
l2_interaction,airline,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260511_094959_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.733,0.66,0.6,0.819,0.85,0.585,0.76,0.995,0.803,150,50
l2_interaction,airline,vietnamese,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260507_005606_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_vietnamese,0.48,0.347,0.28,0.583,0.828,0.531,0.513,0.997,0.783,150,50
l2_interaction,retail,chinese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_052326_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,0.675,0.506,0.412,0.61,0.923,0.744,0.704,0.948,0.682,342,114
l2_interaction,retail,chinese,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_044927_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.722,0.596,0.526,0.729,0.921,0.778,0.751,0.983,0.835,342,114
l2_interaction,retail,chinese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_014748_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.591,0.442,0.351,0.594,0.89,0.686,0.62,0.987,0.79,342,114
l2_interaction,retail,filipino,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_063830_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,0.655,0.518,0.43,0.656,0.914,0.733,0.663,0.78,0.772,342,114
l2_interaction,retail,filipino,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_051905_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.675,0.541,0.474,0.702,0.921,0.723,0.702,0.771,0.674,342,114
l2_interaction,retail,filipino,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_155537_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.573,0.444,0.386,0.674,0.885,0.638,0.594,0.789,0.729,342,114
l2_interaction,retail,indonesian,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_040050_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,0.684,0.547,0.456,0.667,0.932,0.768,0.727,0.944,0.753,342,114
l2_interaction,retail,indonesian,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_021823_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.64,0.482,0.386,0.603,0.915,0.665,0.658,0.975,0.838,342,114
l2_interaction,retail,indonesian,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_093704_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.608,0.462,0.386,0.635,0.892,0.644,0.635,0.974,0.792,342,114
l2_interaction,retail,thai,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_023353_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,0.699,0.538,0.43,0.615,0.918,0.744,0.708,0.957,0.778,342,114
l2_interaction,retail,thai,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_230553_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.573,0.43,0.36,0.628,0.899,0.589,0.596,0.985,0.816,342,114
l2_interaction,retail,thai,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260508_194059_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.526,0.383,0.325,0.618,0.858,0.597,0.556,0.993,0.756,342,114
l2_interaction,retail,vietnamese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_012220_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,0.696,0.57,0.5,0.718,0.923,0.759,0.731,0.946,0.79,342,114
l2_interaction,retail,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_141138_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.687,0.55,0.465,0.677,0.923,0.72,0.716,0.967,0.852,342,114
