scenario,domain,language_senario,agent_llm,normalized_agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,read_action,write_action,db_match,user_language_correctness,agent_language_correctness,total_simulations,total_tasks
2-multilingual-tools,airline,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.44,0.28,0.2,0.455,0.853,0.435,0.46,0.996,1,150,50
2-multilingual-tools,airline,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.413,0.267,0.2,0.484,0.864,0.503,0.427,0.995,1,150,50
2-multilingual-tools,airline,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.413,0.287,0.24,0.581,0.853,0.456,0.42,0.998,1,150,50
2-multilingual-tools,airline,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.413,0.267,0.22,0.533,0.864,0.463,0.433,0.996,1,150,50
2-multilingual-tools,airline,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.447,0.313,0.26,0.582,0.853,0.408,0.46,0.998,1,150,50
2-multilingual-tools,retail,chinese,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.719,0.579,0.482,0.670,0.936,0.759,0.737,0.996,0.999,342,114
2-multilingual-tools,retail,filipino,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.661,0.515,0.439,0.664,0.939,0.712,0.661,0.996,1,342,114
2-multilingual-tools,retail,indonesian,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.675,0.526,0.43,0.637,0.949,0.725,0.696,0.996,1,342,114
2-multilingual-tools,retail,thai,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.646,0.477,0.377,0.584,0.924,0.731,0.673,0.997,1,342,114
2-multilingual-tools,retail,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.667,0.541,0.465,0.697,0.923,0.714,0.696,0.995,1,342,114
2-multilingual-tools,retail,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.667,0.538,0.456,0.684,0.92,0.71,0.693,0.995,1,342,114
2-multilingual-tools,retail,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.652,0.485,0.386,0.592,0.923,0.722,0.673,0.997,1,342,114
2-multilingual-tools,retail,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.696,0.547,0.447,0.642,0.935,0.723,0.728,0.996,1,342,114
2-multilingual-tools,retail,vietnamese,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.681,0.532,0.43,0.631,0.928,0.737,0.702,0.997,1,342,114
2-multilingual-tools,retail,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.594,0.433,0.36,0.606,0.913,0.648,0.635,0.988,1,342,114
2-multilingual-tools,retail,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.57,0.421,0.342,0.600,0.901,0.613,0.572,0.989,1,342,114
2-multilingual-tools,retail,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.55,0.418,0.351,0.638,0.903,0.614,0.573,0.991,1,342,114
2-multilingual-tools,retail,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.561,0.421,0.351,0.626,0.903,0.633,0.596,0.99,1,342,114
2-multilingual-tools,retail,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.596,0.456,0.386,0.648,0.894,0.638,0.632,0.99,1,342,114
2-multilingual-tools,retail,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.535,0.398,0.325,0.607,0.909,0.629,0.57,0.989,1,342,114
2-multilingual-tools,retail,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.585,0.447,0.377,0.644,0.895,0.671,0.628,0.988,1,342,114
2-multilingual-tools,retail,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.57,0.401,0.298,0.523,0.897,0.633,0.608,0.99,1,342,114
2-multilingual-tools,retail,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.547,0.412,0.351,0.642,0.894,0.627,0.576,0.991,1,342,114
2-multilingual-tools,telecom,chinese,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.705,0.576,0.5,0.709,,0.839,0.175,0.999,1,342,114
2-multilingual-tools,telecom,filipino,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.719,0.594,0.509,0.708,,0.867,0.226,0.999,1,342,114
2-multilingual-tools,telecom,indonesian,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.713,0.596,0.518,0.727,,0.87,0.196,0.999,1,342,114
2-multilingual-tools,telecom,thai,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.713,0.588,0.518,0.727,,0.854,0.222,0.999,1,342,114
2-multilingual-tools,telecom,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.664,0.541,0.482,0.726,,0.846,0.19,1,1,342,114
2-multilingual-tools,telecom,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.696,0.558,0.491,0.705,,0.853,0.191,0.999,1,342,114
2-multilingual-tools,telecom,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.67,0.55,0.491,0.733,,0.841,0.196,1,1,342,114
2-multilingual-tools,telecom,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.652,0.52,0.465,0.713,,0.812,0.211,1,1,342,114
2-multilingual-tools,telecom,vietnamese,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.664,0.55,0.482,0.726,,0.856,0.199,1,0.999,342,114
2-multilingual-tools,telecom,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.222,0.135,0.096,0.432,,0.373,0.117,1,0.981,342,114
2-multilingual-tools,telecom,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.301,0.167,0.105,0.349,,0.602,0.123,1,0.983,342,114
2-multilingual-tools,telecom,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.269,0.155,0.105,0.390,,0.49,0.129,0.999,0.987,342,114
2-multilingual-tools,telecom,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.339,0.208,0.14,0.413,,0.661,0.132,0.999,0.993,342,114
2-multilingual-tools,telecom,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.298,0.155,0.088,0.295,,0.612,0.135,0.999,0.985,342,114
2-multilingual-tools,telecom,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.392,0.213,0.14,0.357,,0.651,0.129,0.998,0.985,342,114
2-multilingual-tools,telecom,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.365,0.181,0.105,0.288,,0.683,0.155,1,0.987,342,114
2-multilingual-tools,telecom,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.342,0.181,0.114,0.333,,0.614,0.149,0.999,0.987,342,114
2-multilingual-tools,telecom,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.254,0.135,0.088,0.346,,0.45,0.126,1,0.985,342,114
3-crosslingual,airline,chinese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260419_235442_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,0.62,0.46,0.38,0.613,213/273,77/147,95/150,0.054,0.455,150,50
3-crosslingual,airline,filipino,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_003625_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,0.62,0.5267,0.48,0.774,217/273,65/147,94/150,0.133,0.417,150,50
3-crosslingual,airline,indonesian,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260419_231438_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,0.6267,0.4467,0.36,0.574,225/273,81/147,94/150,0.07,0.392,150,50
3-crosslingual,airline,thai,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260419_222935_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,0.5933,0.4733,0.4,0.674,231/273,74/147,93/150,0.052,0.383,150,50
3-crosslingual,airline,vietnamese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260419_214157_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,0.64,0.5,0.42,0.656,220/273,88/147,99/150,0.053,0.359,150,50
3-crosslingual,airline,chinese,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_110356_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.76,0.64,0.58,0.763,247/273,95/147,117/150,0.001,0.197,150,50
3-crosslingual,airline,filipino,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_122502_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.7467,0.6533,0.6,0.804,254/273,97/147,114/150,0.038,0.309,150,50
3-crosslingual,airline,indonesian,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_073621_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.74,0.6533,0.6,0.811,250/271,89/145,112/148,0,0.182,148,50
3-crosslingual,airline,thai,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260511_110641_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.6867,0.58,0.52,0.757,239/273,82/147,106/150,0,0.226,150,50
3-crosslingual,airline,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260511_094959_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.7333,0.66,0.6,0.818,232/273,86/147,114/150,0,0.197,150,50
3-crosslingual,airline,chinese,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260508_013140_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese,0.46,0.3,0.22,0.478,248/273,83/147,72/150,0.001,0.254,150,50
3-crosslingual,airline,filipino,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260508_040932_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino,0.44,0.3133,0.26,0.591,235/257,66/144,69/149,0.045,0.3,150,50
3-crosslingual,airline,indonesian,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260507_221638_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_indonesian,0.4933,0.3467,0.26,0.527,244/273,69/147,78/150,0.001,0.21,150,50
3-crosslingual,airline,thai,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260507_093357_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_thai,0.4867,0.3733,0.32,0.657,217/273,52/147,77/150,0.001,0.27,150,50
3-crosslingual,airline,vietnamese,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260507_005606_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_vietnamese,0.48,0.3467,0.28,0.583,226/273,78/147,77/150,0,0.217,150,50
3-crosslingual,airline,chinese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_155442_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,0.7867,0.7,0.66,0.839,220/226,64/115,112/132,0,0.343,132,48
