progress,progress_notes,experiment,domain,language_or_scenario,agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,read_action_count,read_acount_total,read_action_percent,write_action_count,write_acount_total,write_action_percent,db_match,language_correctness,total_simulations,total_tasks
NEEDS_CHECK,Rerun cleaner; 43/342 = 12.6% non-agent infrastructure failures contaminate metrics. Also has agent/tool-loop failures.,translated,retail,th,openrouter/qwen/qwen3.6-35b-a3b,2026-05-18-05-04-57_translated_retail_trial-3_th_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,26.2,15.0,2.6,439,650,67.5,104,306,34.0,41.1,100.0,342,114
DONE,"Clean completed run; failures are agent/tool-loop behavior (placeholder credential/user lookup), not infra. Infra 6/342 = 1.8%.",translated,retail,tl,openrouter/qwen/qwen3.6-35b-a3b,2026-05-20-03-37-20_translated_retail_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,0.0,0.0,0.0,0,0,,0,6,0.0,0.0,100.0,342,114
DONE,"Clean completed run; failures are agent/tool-loop behavior (placeholder credential/user lookup), not infra. Infra 12/342 = 3.5%.",translated,retail,vi,openrouter/qwen/qwen3.6-35b-a3b,2026-05-20-04-38-18_translated_retail_trial-3_vi_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,0.0,0.0,0.0,0,0,,0,3,0.0,0.0,100.0,342,114
DONE,retail/zh partial sweep; 111 tasks and 197 sims,translated,retail,zh,openrouter/qwen/qwen3.6-35b-a3b,2026-05-18-12-11-13_translated_retail_trial-3_zh_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,37.7,13.5,0.0,585,673,86.9,186,272,68.4,70.2,100.0,342,114
DONE,,translated,airline,id,openrouter/qwen/qwen3.6-35b-a3b,2026-05-18-14-55-47_translated_airline_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,72.7,64.0,58.0,254,273,93.0,45,147,30.6,74.7,91.2,150,50
DONE,Running 2026-05-18-15-31-49_translated_airline_trial-3_th_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8 at max concurrency 30,translated,airline,th,openrouter/qwen/qwen3.6-35b-a3b,2026-05-18-15-31-49_translated_airline_trial-3_th_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,54.7,42.0,36.0,144,166,86.7,18,95,18.9,72.6,100.0,150,50
DONE,,translated,airline,tl,openrouter/qwen/qwen3.6-35b-a3b,2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,66.7,56.9,51.1,207,245,84.5,37,124,29.8,71.5,90.9,150,49
DONE,Running 2026-05-18-20-53-11_translated_airline_trial-3_vi_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8 at max concurrency 30,translated,airline,vi,openrouter/qwen/qwen3.6-35b-a3b,2026-05-18-20-53-11_translated_airline_trial-3_vi_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,70.3,62.7,62.2,240,257,93.4,44,141,31.2,72.4,100.0,150,50
DONE,Resuming after OpenRouter key refresh; 43 tasks and 150 sims completed,translated,airline,zh,openrouter/qwen/qwen3.6-35b-a3b,2026-05-18-21-57-05_translated_airline_trial-3_zh_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,55.3,45.3,38.0,160,165,97.0,35,90,38.9,81.7,99.7,150,50
NEEDS_CHECK,Resuming 2026-05-19-00-25-39_translated_telecom_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8 from partial checkpoint,translated,telecom,id,openrouter/qwen/qwen3.6-35b-a3b,,,,,,,,,,,,,,
NEEDS_CHECK,,translated,telecom,th,openrouter/qwen/qwen3.6-35b-a3b,,,,,,,,,,,,,,
TODO,,translated,telecom,tl,openrouter/qwen/qwen3.6-35b-a3b,,,,,,,,,,,,,,
NEEDS_CHECK,Resuming 2026-05-19-00-49-19_translated_telecom_trial-3_vi_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8 from 341/342 sims,translated,telecom,vi,openrouter/qwen/qwen3.6-35b-a3b,,,,,,,,,,,,,,
NEEDS_CHECK,,translated,telecom,zh,openrouter/qwen/qwen3.6-35b-a3b,,,,,,,,,,,,,,
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,retail,id,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_retail_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,24.3,17.0,14.0,914,1071,85.3,158,528,29.9,17.8,96.8,342,114
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,retail,th,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_retail_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,17.8,14.3,13.2,786,1053,74.6,114,520,21.9,13.7,100.0,342,114
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,retail,tl,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,26.0,18.7,15.8,884,1029,85.9,138,504,27.4,17.2,95.9,342,114
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,retail,vi,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_retail_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,28.9,20.5,14.9,953,1071,89.0,169,527,32.1,17.2,100.0,342,114
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,retail,zh,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,26.6,18.1,14.9,815,946,86.2,189,471,40.1,19.8,100.0,342,114
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,airline,id,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,48.0,44.0,42.0,224,273,82.1,15,147,10.2,61.2,96.0,150,50
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,airline,th,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,46.0,41.3,38.0,225,265,84.9,10,145,6.9,52.1,100.0,150,50
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,airline,tl,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,47.3,42.0,40.0,218,249,87.6,18,142,12.7,59.3,94.1,150,50
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,airline,vi,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,48.7,46.0,44.0,228,273,83.5,14,147,9.5,57.8,99.9,150,50
DONE,Completed full Vertex AI Qwen3-235B run; all tasks x 3 trials evaluated.,translated,airline,zh,Qwen3-235B-A22B-Instruct-2507,2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,50.0,47.3,46.0,246,273,90.1,23,138,16.7,59.4,100.0,150,50
TODO,,translated,telecom,id,Qwen3-235B-A22B-Instruct-2507,,,,,,,,,,,,,,
TODO,,translated,telecom,th,Qwen3-235B-A22B-Instruct-2507,,,,,,,,,,,,,,
TODO,,translated,telecom,tl,Qwen3-235B-A22B-Instruct-2507,,,,,,,,,,,,,,
TODO,,translated,telecom,vi,Qwen3-235B-A22B-Instruct-2507,,,,,,,,,,,,,,
TODO,,translated,telecom,zh,Qwen3-235B-A22B-Instruct-2507,,,,,,,,,,,,,,
